baseMean	log2FoldChange	lfcSE	pvalue	padj
ac	0	NA	NA	NA	NA
acj6	2.60791476015062	0.425961344727677	0.848380890849674	0.392387488055708	0.527029119261767
amx	191.286513278674	-0.00311295458733132	0.171211499628972	0.984213774162977	0.989784795526164
dyw	6.09151575485628	0.785310319260869	0.739813028470463	0.146360939957889	0.238078477103423
arm	2834.53911384466	0.0808879027218345	0.0934107754817214	0.380369490656001	0.515432894541479
ase	0	NA	NA	NA	NA
Axs	241.242035185006	-1.08534946144691	0.165095592989095	2.46794891130029e-11	1.94001661259432e-10
baz	675.004705584673	0.801421503885703	0.155366905893592	2.47404216489891e-07	1.2720236082551e-06
ben	1324.70567610166	0.0961468017296498	0.0899989885204694	0.283708010547353	0.406460808657054
bi	0.105743697321372	-0.0122867394602244	0.975577366218874	0.97344693724025	NA
brn	98.8221977018657	-0.213847627294128	0.22114232923169	0.319926606418864	0.448739161108564
btd	0.115216378883196	0.129373879232361	0.976519763620233	0.787936101186678	NA
car	199.972937200581	-0.245090359715485	0.179538449403601	0.164231768481231	0.263926228946219
CkIIbeta	1253.10200050654	-0.559276694083939	0.0978321054255602	9.74894454790608e-09	5.73108909268449e-08
cin	457.619847172601	-0.236421504056891	0.140243199667516	0.0878444087554444	0.154865721719907
Chc	4437.35685589299	0.371055257053973	0.125713196815738	0.00290332208520231	0.00758564054614134
cm	520.52441632789	0.0666934775693385	0.140249459324193	0.624169803778142	0.736566432650369
comt	62.2449998448785	1.83785280782914	0.314248432392144	1.26233363967391e-09	8.10631120417103e-09
Cp36	0.233944893448277	0.117667013457086	0.974325322594152	0.78793761124508	NA
Cp38	0.108413509195903	0.127443736783019	0.976074262817972	0.787936101186678	NA
crm	194.907641775752	0.205576129621173	0.200832469314163	0.296908427497438	0.422005844949692
crn	335.873774693494	-0.106331631099861	0.143650213328734	0.456596630000304	0.587367668037399
csw	2769.51303192513	0.498690594889976	0.11450472634976	1.13294103003973e-05	4.52893176758382e-05
cv	48.9180080272261	0.104954344067227	0.283402443560275	0.700161095231286	0.803125962177064
dec-1	0.104009252141054	-0.117505161506886	0.975093620682168	0.839593974432336	NA
disco	90.3776199600216	-0.0947625944573842	0.293479138970575	0.733226248918224	0.829157547397623
dnc	1222.74323816625	0.621349710780593	0.12952375023202	1.13148866983761e-06	5.19899535365038e-06
dor	681.652347655401	-1.07326453769925	0.110612949050757	1.49883372052384e-22	2.66292791013069e-21
dsh	274.646701341637	0.170252152800887	0.152005361335379	0.257214173760363	0.376290451823258
dwg	237.168925922439	0.679369010688653	0.149479089009309	3.97038711771955e-06	1.69297306699561e-05
