P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3	F1_1	F1_2	F1_3
a	208.238847977609	172.264449972065	129.540855486672	197.640060057364	222.029183252529	159.588883231787	142.349419890881	187.528802918332	200.860923348262	129.640292427177	143.500405756692	176.363794335074	160.299833889736	179.018568491515	162.777331639663
abd-A	139.548950207217	150.230624975638	102.677544441049	112.937177175637	123.680685972885	103.168570978125	197.291301252274	237.485246318708	225.614910380618	328.843668595765	412.374850227125	380.233868520572	215.788237928491	261.191026159751	233.992414232016
Abd-B	504.689985723509	602.257883235668	601.141204954282	825.068822144235	813.610295677052	914.009058509323	540.261833387029	699.390207605255	638.65286543479	600.772086857648	670.67558058917	588.957992091439	698.229084154331	726.345831174588	728.585075752531
abo	252.344992861755	236.36284996167	223.263962912514	203.914347678233	175.835192106029	241.80133822998	154.00375836148	133.729556179466	154.889233145314	175.488688529471	141.989875169779	171.509744949705	185.732019074165	155.540723443447	200.341331248816
Ace	351.403055962214	269.079741623031	222.070037977153	233.717213877359	257.792273172399	294.997632640575	114.878479210185	174.463271567465	132.257016430017	151.774000890353	140.479344582867	135.913382790332	188.814708187429	195.159586962061	208.949747825914
Acph-1	906.70665056917	867.999166525907	778.439057855396	536.451591584275	542.406863784701	459.422542636962	768.353886311598	674.027705571218	712.914826531858	543.856836523766	598.170112417368	540.417498237749	528.681182924802	557.598819891603	484.419078293036
nAChRalpha1	4.33830933286684	7.34460833214229	2.98481233840259	6.27428762086871	14.9012874666127	6.44803568613279	9.98943297479868	2.30568200309425	6.36531095117731	0	0	0	3.08268911326415	7.33682657752109	3.13033330076275
mAChR-A	2.16915466643342	0	0	0	0	0	1.66490549579978	6.14848534158466	0.707256772353034	0	0	0	0	0	0
nAChRalpha2	0	0	1.19392493536104	3.13714381043436	1.49012874666127	1.6120089215332	0	0	0	0	0	0	1.54134455663208	0.733682657752109	0.782583325190689
Pfas	269.698230193222	294.45202495225	355.192668269908	293.322946275612	281.634333118979	245.025356073046	184.804510033776	201.362894936898	231.272964559442	355.720314586765	285.490280926471	283.152880813192	317.516978666208	277.332044630297	255.904747337355
Gart	838.739804354257	913.402199851878	1030.95418168425	2254.03782779708	2285.85749737838	2168.15199946215	1266.99308230363	1497.92474134356	1123.83101126897	1218.93494465065	1169.15067427031	1200.56821464793	1701.64439052181	1693.33957409187	1633.25139967297
Adh	398.401407068272	602.925574902226	707.400524201414	536.451591584275	479.821456424928	538.410979792088	218.935072697671	149.869330201126	193.788355624731	539.113898995942	477.327665464364	451.426592839317	526.369166089854	468.089535645846	479.723578341892
Adhr	24.5837528862454	15.356908330843	28.0572359809844	95.6828862182478	47.6841198931605	106.392588821191	2.49735824369967	0	0	0	0	6.47206584715867	47.0110089772783	23.4778450480675	54.7808327633482
adp	555.303594606956	540.830249912296	574.277893908659	417.240126787769	348.690126718736	412.674283912499	428.713165168443	412.71707855387	463.253185891237	387.339898105589	361.016810272098	328.457341743302	393.813534219496	347.031897116748	359.205746262526
al	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mps1	0	0	2.38784987072207	0	0	0	2.49735824369967	4.6113640061885	2.1217703170591	0	3.02106117382509	1.61801646178967	0	1.46736531550422	0.782583325190689
Ald1	3306.51476320001	3241.64304114098	3501.78183541392	3864.96117445513	3509.25319838728	3585.10784148983	3646.14303580152	2963.56993464381	3466.97269807457	3759.56848038812	3685.69463206661	3601.7046439438	3731.59517160626	3518.00834392136	3482.49579709856
Ama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amd	15.184082665034	16.6922916639598	17.9088740304156	3.13714381043436	1.49012874666127	11.2840624507324	4.99471648739934	2.30568200309425	2.82902708941214	0	0	1.61801646178967	1.54134455663208	0.733682657752109	6.26066660152551
AnxB9	1083.85428166123	1084.99895815738	1052.44483052075	1305.05182514069	1288.961365862	1484.66021673208	1396.02325822812	1413.38306789677	1109.68587582191	989.692964139178	975.802759145504	1194.09614880077	1123.64018178478	1108.59449586344	1298.30573649135
Anp	43733.0502815197	43130.8785846723	61256.7066585687	79862.2699822274	68872.2605419371	79373.7072873732	95939.3467427144	45355.8392435347	72587.1770601366	179452.203323555	88927.9567127154	111313.060505282	126714.706673001	77103.4441858269	92372.222788883
aop	209.684951088564	251.052066625955	216.100413300348	384.300116778209	429.157079038445	436.854417735497	187.301868277475	260.54206634965	227.029423925324	350.977377058942	448.627584313026	283.152880813192	359.90395397359	429.204354784984	349.032163035047
RpLP0	23830.3331654376	24428.1673127053	24810.35711927	24566.9731795114	25047.5741026292	26287.0294834419	21081.0333878168	19855.76484998	19510.3853221308	26384.9614672823	26239.4268252578	27996.5388383466	24932.0188758022	25077.2732419671	26302.625559659
Aprt	174.978476425629	169.593683305831	170.134303288948	112.937177175637	108.779398506272	112.840624507324	160.663380344679	117.589782157807	120.233651300016	169.164771825706	167.668895147293	166.655695564336	137.950337818571	134.997609026388	135.386915257989
Arl1	523.489326165933	494.091833253209	469.809462064568	371.751541536471	329.31845301214	261.145445288378	455.35165310124	336.62957245176	479.520091655357	352.558356234883	344.40097381606	318.749242972564	354.509248025378	329.423513330697	280.947413743457
