baseMean	log2FoldChange	lfcSE	pvalue	padj
ac	0	NA	NA	NA	NA
acj6	2.60791476015062	-0.630542339771484	0.908722976216186	0.222104866137242	0.327919985230538
amx	191.286513278674	-0.0377588872908162	0.170677066013156	0.818082705853708	0.862880374099096
dyw	6.09151575485628	-0.331927283690902	0.66486549556279	0.492744765795249	0.602287227673237
arm	2834.53911384466	-0.252827467745153	0.0932665145867271	0.0063181505946887	0.0162074297863754
ase	0	NA	NA	NA	NA
Axs	241.242035185006	1.04787288365695	0.164656836581779	1.00534016675489e-10	8.38147725979348e-10
baz	675.004705584673	-0.543124681405481	0.155043202538979	0.000376671278182905	0.00130727090663479
ben	1324.70567610166	-0.306841476571223	0.0895783581800999	0.000582934945721519	0.00192305850911142
bi	0.105743697321372	-0.115096714661752	0.946467570559783	0.791104341229174	NA
brn	98.8221977018657	0.24718854225245	0.221082566424593	0.251704036922653	0.361529955654821
btd	0.115216378883196	-0.0162476964933423	0.945925589312991	0.976722226055492	NA
car	199.972937200581	0.394632989458351	0.180726232723529	0.0261278839024228	0.0570130496533665
CkIIbeta	1253.10200050654	0.327294320193249	0.0971539388542293	0.000736330910671997	0.00237296558187152
cin	457.619847172601	0.00841833283096798	0.139109803034493	0.948791681274237	0.963233910704619
Chc	4437.35685589299	-0.55580548443127	0.125851822976877	6.26043369656507e-06	2.93685177080453e-05
cm	520.52441632789	-0.0350305228772974	0.140237575550366	0.798106758662511	0.848724112615205
comt	62.2449998448785	-2.21162739496354	0.311036672110484	2.14123399383164e-13	2.24976229214914e-12
Cp36	0.233944893448277	-0.121717937518054	0.948042688027194	0.791102829512024	NA
Cp38	0.108413509195903	-0.0126159670537212	0.945858906872656	0.976722226055492	NA
crm	194.907641775752	0.538308833455465	0.206683795699114	0.00748111782744595	0.0187823809284813
crn	335.873774693494	0.0861599913538754	0.143342207796329	0.544001315319946	0.647741887274296
