P_mel_1	P_mel_2	P_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_1	F1_2	F1_3
ac	0	0	0	0	0	0	0	0	0
acj6	2.0527167899553	1.87216653853897	0	4.51912983308546	2.93173700088042	3.8067731035694	3.1108422298463	1.95144316552625	3.22642417995345
amx	195.008095045753	218.10740173979	156.254872879112	207.879972321931	192.517396391148	184.628495523116	191.835270840522	189.289987056046	186.057127710649
dyw	5.13179197488824	3.74433307707794	2.5615552931002	4.51912983308546	5.86347400176084	6.66185293124644	11.4064215094364	11.7086589931575	3.22642417995345
arm	2660.32095978207	2593.88673914574	2588.87854955993	3091.08480583046	3367.58856834464	2905.51957129934	2987.4454880624	2618.83672813623	2697.29061444109
ase	0	0	0	0	0	0	0	0	0
Axs	332.540119972758	414.684888286382	370.571665735162	183.024758239961	168.086254717144	182.725108971331	192.872218250471	181.484214393941	145.189088097905
baz	544.996307733131	473.658134250359	423.5104751259	606.693180091723	845.317501920521	665.233599848752	868.961929537067	903.518185638654	743.153036115946
ben	1248.05180829282	1164.48758697124	1191.12321129159	1513.90849408363	1443.39185010013	1507.48214901348	1237.07826006888	1249.89934751956	1366.92837757361
bi	0	0	0	0	0	0.951693275892349	0	0	0
brn	101.609481102787	118.882575197224	110.146877603309	79.0847720789956	91.8610926942532	104.686260348158	76.7341083362088	95.6207151107863	110.773896845069
btd	0	0	0	0	0	0	1.03694740994877	0	0
car	257.61595713939	190.960986930975	245.909308137619	161.558891532805	164.177272049304	197.000508109716	173.170217461444	193.192873387099	216.170420056881
CkIIbeta	1586.75007863544	1514.58272967803	1460.94036883148	1158.02701972815	1215.69360969841	1255.28343090201	1017.24540915974	1113.29832593273	956.097031992874
cin	436.202317865501	457.744718672778	555.003646838376	543.425362428527	438.783304465103	460.619545531897	421.000648439199	397.118684184592	408.680396127438
Chc	3916.58363523471	3570.22158899381	3067.88938936967	4547.37439454225	5987.58420146478	5143.90215619814	4680.78060850873	4757.618437553	4264.25729117182
cm	474.177578479674	508.29321521333	540.488166844142	527.608408012728	450.510252468625	584.339671397902	598.318655540439	476.152132388405	524.831666605762
comt	12.3163007397318	24.3381650010066	21.3462941091683	103.939986160966	90.8838470272931	88.5074746579884	83.9927402058501	69.2762323761819	65.6039583257202
Cp36	0	0	0	1.12978245827137	0	0	0	0.975721582763125	0
Cp38	0	0	0	0	0	0	0	0.975721582763125	0
crm	203.218962205574	242.445566740796	173.331908166447	110.718680910594	145.609604377061	161.787856901699	267.532431766782	252.71188993565	196.811874977161
crn	335.619195157691	380.049807323411	338.125298689226	300.522133900183	370.376107777893	319.768940699829	325.601486723913	294.667917994464	358.133083974833
csw	2254.90939376589	2192.30701662913	2127.7985968019	2656.11855939598	3545.44727973139	2818.91548319314	3025.8125422305	3188.65813246989	3115.65028310839
cv	44.1334109840389	39.3154973093183	48.6695505689038	54.2295579970256	45.9305463471266	64.7151427606797	46.6626334476945	43.9074712243406	52.6982616059064
dec-1	0	0.936083269269484	0	0	0	0	0	0	0
disco	78.0032380183013	130.115574428458	107.585322310208	44.0615158725833	95.7700753620937	63.7634494847874	119.248952144108	78.05772662105	96.7927253986036
dnc	938.091573009571	917.361603884095	902.521314935637	1106.05702664767	1574.34276947279	1287.64100228235	1506.68458665556	1394.30614176851	1377.68312484013
dor	1002.75215189316	886.470855998202	880.321169062102	685.777952170719	665.504299199856	706.156410712123	463.515492247099	419.560280588144	424.812517027205
