P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0000008	288.001	258	217	126.001	149	99	171	244	284	82	95	109
FBgn0000014	193.001	225.001	172	72	83	64	237	309	319	208	273	235
FBgn0000015	698	902.001	1007.001	526.001	546	567.001	649	910	903.411	380	444	363.774
FBgn0000018	349	354	374	130	118	150	185	174	219	111	94	106
FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000024	486	403	372	149	173	183	138	227	187	96	93	84
FBgn0000028	2	2	0	0	0	0	4	3	4	3	2	3
FBgn0000032	1254	1300	1304	342	364	285	923	877	1008	344	396	334
FBgn0000036	6	11	5	4	10	4	12	3	9	0	0	0
FBgn0000037	3	0	0	0	0	0	2	8	1	0	0	0
FBgn0000038	3	5	5	0	2	0	0	0	0	0	0	0
FBgn0000039	0	0	2	2	1	1	0	0	0	0	0	0
FBgn0000052	373.001	441	595	187	189	152	222	262	327	225	189	175
FBgn0000053	1159.999	1368	1727	1437	1534	1345.008	1522	1949	1589.003	771	774	742
FBgn0000055	550.947	902.714	1184.505	342.11	322.133	334.15	263	195	274	341	316	279
FBgn0000056	34.053	23.286	47.495	60.89	31.867	65.85	3	0	0	0	0	4
FBgn0000057	768	810	962	266	234	256	515.001	537	655	245	239	203
FBgn0000061	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000063	0	0	4	0	0	0	3	6	3	0	2	1.002
FBgn0000064	4572.777	4854.996	5866.458	2463.999	2354.999	2224	4380	3856	4902	2377.993	2439.987	2226
FBgn0000071	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000075	21	25	30	2	1	7	6	3	4	0	0	1
FBgn0000077	190	233	183	0	0	0	184	197	194	185	194	173
FBgn0000083	1499.198	1625.208	1763.113	832.244	865.489	921.01	1676.953	1839	1569.024	626.07	645.704	737.789
FBgn0000084	1727.004	1664	2060	12	0	0	4810	4668.581	4929.009	4205	4409	4032
FBgn0000092	5	4	3	0	0	0	4	6	7	11	12	3
FBgn0000094	60484.421	64596.967	102614.151	50913.67	46218.976	49239.138	115249.201	59013.52	102631.999	113506.901	58871.75	68795.983
FBgn0000097	290	376	362	245	288	271	224.761	339.083	321.314	222.441	297.232	174.697
FBgn0000100	32958.196	36586.028	41561	15662.006	16809	16307.103	25323.864	25835.152	27585.577	16689	17370.982	17303.222
FBgn0000108	2	10	9	0	0	0	8	13	12	28	56	21
FBgn0000109	242	254	285	72	73	70	193	153	170	107	111	103
FBgn0000114	43	50	51	15	11	2	11	0	0	1	0	0
FBgn0000115	724.004	740	787	237	221	162	547.004	438	678	223	228	197
FBgn0000116	2702.001	3358.823	3494.005	1956	2083.001	1949	2461	2797.008	2823.886	1155	1307	1195
FBgn0000117	2591.999	2770.999	3032.001	5	4	10	2736	3445.828	3053.003	2875.669	2680.001	2498.108
FBgn0000119	426	406	324	169	177	189	190	351	268	163	200	165
FBgn0000120	0	1	0	0	8	0	35	0	0	0	0	0
FBgn0000121	0	0	0	0	0	0	40	0	0	0	1	0
FBgn0000137	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000140	7	1	0	0	0	0	2	0	1	0	0	0
FBgn0000146	0	0	2	1	1	0	18	11	26	64	52	56
FBgn0000147	6	6	12	0	0	2	1.116	0	0	0	0	0
FBgn0000150	1559.89	1559.863	2287.176	1529	1610	1590.002	839.005	440.46	884.004	1092	1141.278	1203
FBgn0000152	323.807	442.606	433.545	2	0	0	162	172	192	184	186	135
FBgn0000153	26	61	45	3	6	6	7	2	2	1	1	0
FBgn0000157	0	0	0	0	0	0	0	0	2	0	0	0
FBgn0000158	0	0	0	0	0	0	0	0	0	6	1	0
FBgn0000163	531	506	496	1	3	0	537	865	699	837	923	691
FBgn0000166	1	1	2	2	1	0	0	0	0	1	5	2
FBgn0000173	1216.001	1244.015	1395	0	1	2	1340	1477	1584	1193	1280	1268.531
FBgn0000179	0	0	0	0	0	0	0	0	1	0	0	0
FBgn0000180	2	1	1	0	0	0	0	0	0	0	0	0
FBgn0000181	7735	8695.151	10267.273	4415.001	4565	4071	7149	7537.234	7761.036	5979	6127.028	5669.023
FBgn0000182	3	9	3	0	0	0	4	0	1	0	0	0
FBgn0000183	1966	1921.003	1992	617	711	600	1832	1905.456	1982	680	778	718
FBgn0000206	1	4	0	3	2	0	3	0	0	0	0	1
FBgn0000212	640	741.999	696.001	302	303	270	576	740	704	367	406	280
FBgn0000216	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000221	99	127	129	0	0	0	70	94	110	74	98	103
FBgn0000227	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000228	1792.207	1981.013	1979	624	753.999	620.999	1115	1465	1326	576	633	486
FBgn0000229	56	95	97	26	63	26	75	91	130	37	24	38
FBgn0000233	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0000239	1075	1023	1207	514	607	502	900	1146.005	1075	507	580	531
FBgn0000241	3.343	0	1.089	2.101	0	0	4.027	0	1	0	1.012	3
FBgn0000244	1559	1519	1489	1023	1244	1174	1447	2119.001	1469	1357	1616	1593
FBgn0000246	37	45	38	18	19	29	24	21	50	12	17	12
FBgn0000247	465.952	505	472	264	262	184	358.661	571.344	531.95	205.198	241.677	152.776
FBgn0000250	471.009	488.999	657	217	231	279.001	365	490	462.001	276	265	292
FBgn0000251	0	0	3	1	0	0	2	0	0	0	0	0
FBgn0000253	4779	4970.999	5613.562	2602	2687.999	2595	2908.001	3089.076	3503	1598	1554	1553
FBgn0000256	642	675	614.999	203	139	78	275	344	373	98.964	100	71
FBgn0000257	251	204	288	0	0	0	143	168	207	167	198	201
FBgn0000259	1546.001	1618.001	1711.001	20	11	6	1025.001	1243.999	1319.001	961.001	1130	882.999
FBgn0000261	888	821	1092	472	458	455	677	738	905	397	398	413
FBgn0000273	1998	2083.001	1828	610	674	515	2778	3430.006	3481.291	1105	1106	882
FBgn0000274	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000278	0	0	0	0	0	0	0	0	0	0	0	1
FBgn0000283	937	1084	1108	475	487	488	778	1016	928	435	447	393
FBgn0000286	749.001	1084	1047.001	314	364.001	358	341	504.005	468.999	180	262	223
FBgn0000287	24	22	16	1	5	9	1	3	2	0	0	0
FBgn0000289	838	1050.001	1100	403	378	359	619.001	873	786.001	379	330	342
FBgn0000299	495	763.001	642	378	468	391	248	608	489	459	455	402
FBgn0000303	0	2.482	1	0	1	0	0	0	0	1	0	0
FBgn0000307	660.133	721.285	603.251	304.665	404.106	276.642	328.74	683	492.437	304	269	264
FBgn0000308	1203.999	1269	1387.006	526.001	533.999	531	1293	1102	1441.925	486	501.999	514
FBgn0000316	425	489	650	0	0	0	481	449	484	406	407	380
FBgn0000317	1816.001	1616.999	1303	577.001	652	407	953	1346	1299.999	662.001	680.999	444
FBgn0000318	503	523	721	271	294	299	587	454	563	264	281	325
FBgn0000319	3816.022	3814	3593	9	2	2	4025.128	6127	5405	4504.999	4874.063	3963
FBgn0000320	0	1	3	12	2	6	0	4	2	1	7	2
FBgn0000326	143	220	176	75	61	103	99	122	127	47	59	53
FBgn0000330	462	543	633	0	1	0	467	461	614	577	487	488
FBgn0000337	5	5	5	6	17	3	17	27	31	10	19	14
FBgn0000339	121.001	112	135	57	86	69	73	61	93	30	43	41
FBgn0000346	12	26	25	0	0	0	92	93	93	81	71	61
FBgn0000351	0	0	0	2	1	0	2	0	1	0	0	6
FBgn0000352	101	103	116	47	46	46	74	103	98	50	42	30
FBgn0000355	3	4	0	0	0	0	0	0	0	0	0	0
FBgn0000356	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000358	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000359	0	0	0	0	0	0	1	0	0	0	1	0
FBgn0000360	0	0	0	0	0	0	0	0	0	0	1	0
FBgn0000370	22486.292	21069.608	22616.08	6088	5836	5394	21614.694	23423.725	25408.921	12686.999	13617.851	11863.068
FBgn0000376	198	259	203	0	0	0	98	149	170	258.002	259	183
FBgn0000377	327	406	396	0	0	0	266	379	336	314	302	333
FBgn0000382	2197	2342	2492	13	13	12	2351	3627.999	2962	2905	3255.001	2885
FBgn0000384	611	660.009	719	257	266	275	692	793.001	850	428	427	441
FBgn0000392	12.131	15.306	21.334	5.081	7.187	13.404	17.69	16.383	9.271	2.068	1.022	2.043
FBgn0000394	43	42	57	0	0	0	48	47	68	45	45	49
FBgn0000395	10	7	11	14	11	29	45	57	36	17	15	7
FBgn0000404	19	23	35	4	8	0	84	66	78	48	51	39
FBgn0000405	1	0	0	0	0	0	1	1	0	0	0	2
FBgn0000406	29	14	30	17	26	9	26	25	40	10	25	20
FBgn0000411	1	0	4	1	2	8	1	5	6	1	3	1
FBgn0000412	1558	1651.598	1737.007	698	716	664	1303	1395	1488	996	924.001	954.001
FBgn0000414	997	1185	1309	451	549	458	249	695	436.999	391	455	429
FBgn0000416	15137.991	14970.316	16307.987	7652	8784	8261.181	11835.408	15754	13647.153	7048	7593.022	7331
FBgn0000422	6	6	9	5	5	4	234	204	246	62	60	66
FBgn0000426	164	168	167	78	51	70	121.755	77	133.6	48.568	74.99	87
FBgn0000427	0	1	0	0	0	0	0	0	0	0	0	0
FBgn0000439	3	0	0	0	0	0	0	0	0	0	0	0
FBgn0000442	4	2	4	0	4	0	8	8	2	1	2	2
FBgn0000447	917	948	1069	371	370	396	402	380	470	270	289	319
FBgn0000448	1	0	4	0	2	3	1	2	4	1	0	0
FBgn0000449	4.081	0	0	0	1.117	2.423	0	0	0	1.185	0	1.104
FBgn0000451	17	15	36	4	2	4	47	17	20	14	22	9
FBgn0000454	751	708	962	497.001	522.999	450.001	1636	1375.05	1369	343	345	375
FBgn0000455	1131	1078	1227	464	504	506	1023	1018	1145	418	540	401
FBgn0000459	76	139	126	0	0	0	39	98	67	115	80	90
FBgn0000463	3	4	3	2	1	0	2	3	1	3	0	0
FBgn0000464	292.999	235	210.999	147	122	97	117	232.999	158	93.001	104	79
FBgn0000473	17	13	42	4	21	24	46	42	40	39	60	46
FBgn0000477	1677	1724	1844	46	88	75	745	719	514	107	104	111
