UniqueCount	AmbigCount
100	28
12	25
0	0
11	17
405	0
123	0
0	8
0	0
0	0
49	0
49	0
88	0
60	0
0	0
127	0
0	0
0	0
198	0
585	0
0	0
62	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
697	1
112	0
81	0
242	0
0	0
399	0
0	0
1	0
33	1
86	0
188	0
1	0
0	0
1	0
0	0
419	0
544	0
1283	0
18	10
87	0
2	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	3
85	0
0	331
4	0
0	0
0	0
65	0
0	0
1377	0
0	0
350	32
79	0
40	173
593	1
0	0
39	0
3	0
13	66
0	0
11	44
25	0
0	0
2	0
16	0
0	0
269	0
163	0
0	0
78	16
129	0
7	0
8	0
0	0
124	0
0	0
0	0
2	0
44	0
18	4
527	0
431	0
122	0
3889	0
216	0
1	405
25	23
207	0
0	0
130	0
333	0
1	18
3	0
0	72
0	0
0	0
0	0
25	347
220	0
39	0
194	0
160	0
150	0
0	0
0	0
0	0
0	0
3	0
0	0
80	0
91	0
2	0
14	0
421	0
1	0
163	0
982	0
153	179
345	0
72	9
0	52
455	0
48	0
96	0
2	0
3	0
3	0
1110	0
402	0
0	0
0	0
131	0
116	0
0	0
0	0
0	0
3	0
23	16
5	0
165	0
347	0
7	0
0	0
159	0
565	4984
86	2
77	420
9	10
1052	0
65	0
0	0
3	0
0	0
196	0
3	0
113	0
659	0
5	0
151	0
109	0
550	0
598	1202
1	0
0	0
1	0
8	0
0	33
118	0
0	0
41	0
473	0
137	0
173	0
0	0
0	0
39	0
2	2
0	0
33	206
2	0
2	0
0	0
0	0
169	0
9	0
14	0
298	0
325	0
0	0
0	0
342	0
711	0
0	0
0	0
405	0
10	0
494	0
0	0
445	0
0	10
403	1
0	23
0	0
133	68
275	945
2	0
894	0
0	0
7	32
0	0
0	0
222	0
234	0
3	0
168	0
0	0
3	0
0	0
0	25
1419	0
2	0
540	501
170	0
0	0
0	0
2	0
0	0
0	0
0	0
794	51
191	0
49	129
0	4
1286	0
0	1
0	0
4	0
477	3081
0	0
88	3
147	0
0	1
0	0
64	484
241	0
0	0
0	0
4	0
0	0
3	0
0	0
292	0
3	0
0	0
1	1
3	0
0	0
0	0
57	0
4	0
0	0
16	251
10	57
25	289
123	212
916	0
0	1700
0	0
2	0
112	0
40	0
30	0
158	0
127	0
122	0
357	0
62	0
27	0
3	0
117	0
76	0
0	124
72	7
136	7
0	578
19	0
88	0
304	1
0	0
0	0
1	0
105	0
33	0
128	0
164	24
1	24
6829	8
65	0
0	0
793	0
0	25
62	0
1861	0
15	70
172	70
249	4
1	4
0	0
0	0
10	7
1898	5
3724	4
0	0
0	0
1	0
0	0
0	0
2	0
2	0
53	0
7	95
65	0
0	0
57	0
42	263
75	0
154	0
1	0
152	0
0	0
197	0
145	0
443	0
0	0
24	0
37	0
157	0
14	128
81	0
11	0
177	0
306	0
0	0
0	0
0	0
30	0
0	0
0	0
0	0
5269	4105
3044	2
0	0
17	0
0	0
0	0
0	0
0	0
0	0
36	0
0	0
0	0
1	0
20	0
46	0
328	1
39	0
530	0
33	0
96	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
416	0
711	0
7	467
906	0
412	0
0	13
0	4046
96	0
1	0
0	3
21	41
15	39
174	0
4	110
13	82
437	0
227	0
5	28
0	58
245	0
3	15
0	0
0	0
2	0
411	0
0	0
0	0
0	0
0	0
0	0
0	0
28824	8
1413	0
0	0
0	0
0	0
0	0
12	0
0	2
6	0
0	0
30	0
64	0
0	0
2604	0
85	0
162	416
47	11
0	0
0	0
0	0
1	0
8	0
10	0
84	0
200	140
0	0
0	0
0	0
0	0
0	0
0	0
0	0
40	219
5	0
53	0
139	713
160	0
277	0
219	0
615	0
875	0
5	0
0	0
0	0
0	0
0	0
0	0
1	0
352	0
1178	0
0	6
34	0
91	0
62	562
0	0
50	0
79	0
5	158
25	0
91	0
0	0
0	0
0	0
426	0
41509	34
42	0
259	0
22	0
0	0
0	0
0	0
118	0
1	0
0	0
52	0
0	0
0	0
145	0
77	0
0	0
0	0
48	0
232	0
1	0
8	0
0	0
51	1317
3313	0
0	0
122	0
83	0
44	282
1	2
142	0
69	0
5946	0
3493	0
1765	0
6	0
126	0
9	0
2	12
2	100
48	0
0	0
0	0
0	0
0	0
28	0
0	0
0	0
0	0
0	0
161	0
90	0
559	0
0	436
146	0
58	0
194	0
