UniqueCount	AmbigCount
0	80
9	80
20	80
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
8	0
323	0
517	0
0	55426
281	53859
234	55426
0	316
18	316
0	644
6	644
0	28
0	28
0	28
3	28
1	28
1	0
0	0
0	0
0	0
0	0
0	0
0	0
5	52
98	52
0	1
0	1
2	0
0	1
1	1
0	1
0	1
83	0
0	0
0	0
3	3
219	1582
12	1582
613	0
1030	0
0	0
30	544
3	552
0	445
0	445
8	525
8	552
0	0
3	0
0	0
0	6
0	11
0	10
0	4
0	7
0	4
0	4
0	7
2	4
1713	3
9	322
0	275
5	306
405	0
0	2289
1	2139
4	2269
245	0
15	1166
0	2540
0	2650
122	227
1	279
31	379
16	368
7	379
0	1228
8	1005
2	1228
0	787
18	787
0	0
0	0
16	0
718	0
33	6
32424	3
15	0
251	54
234	949
6	949
20	3997
340	3997
8	3995
5	3990
8	3999
1437	0
262	0
0	970
1	928
11	928
4	909
44	966
1	924
15	761
1	0
3746	0
0	0
0	0
189	0
0	153
0	153
25	12481
81	14695
104	12454
0	14673
3	14679
61	2
0	0
0	0
536	0
53	0
0	0
10	101
7	127
13	127
121	0
17	0
0	0
0	2
0	2
5	0
19	2
307	0
0	0
2	0
0	0
0	0
0	0
0	11
0	11
0	11
0	0
0	0
0	0
0	0
1	0
0	1
0	1
2	0
0	0
0	0
0	0
0	0
5	10
0	10
0	0
178	481
0	481
5	29
0	29
525	0
3	0
0	1542
2	1475
7	1446
61	1542
189	979
37	996
1	985
0	1001
0	994
0	1001
0	998
7	1001
2	919
0	890
21	994
22	991
6	1267
0	1247
4	1183
741	0
44	0
539	0
0	0
0	1556
86	1556
0	1437
0	154
0	76
4	137
0	32
0	32
0	24
0	16
0	24
0	24
0	24
1	24
0	0
17	496
0	496
51	0
0	58
2	58
0	0
0	0
0	247
9	216
126	247
0	216
10	248
8	1
0	0
127	972
31	972
0	714
1	714
0	689
1031	2
0	1359
8	1366
0	0
1	0
0	0
0	14
0	13
0	6
0	21
0	1
0	1
0	323
1	264
4	275
709	4
0	479
5	460
245	465
0	0
1	21059
29	21060
7	21061
4	21058
0	0
0	0
24	1
1206	0
2	0
0	0
189	194
4	194
9	175
0	175
1270	2
538	0
5	455
0	455
0	349
1	349
588	0
0	896
150	896
40	405
0	405
0	290
4	355
27	329
0	290
2	292
193	0
9	0
0	204
0	207
268	0
60	267
6	266
3	266
4	244
0	267
0	269
0	266
7	0
832	0
209	0
0	325
0	420
0	317
0	412
5	325
1	325
0	172
30	172
9	534
0	386
0	385
33	356
0	393
9	355
0	357
4	357
0	354
0	745
2	746
736	0
186	0
0	885
32	885
0	4516
0	4160
0	4413
14	4303
0	4538
7	0
10	495
0	495
41	1174
2	1174
0	377
30	379
175	500
42	500
2	688
34	688
1	45
0	46
0	46
581	10253
1206	10253
0	223
39	223
8	0
584	0
0	179
0	167
26	179
0	79
0	1815
619	1839
0	1813
9	1864
157	915
1	915
2	915
0	1713
0	1713
7	88
1	76
0	83
0	77
0	1139
39	1139
0	143
16	143
56	0
170	0
0	470
0	470
0	0
0	0
0	0
0	0
0	8
0	8
0	0
1	734
0	739
0	740
387	0
2	0
447	0
0	0
0	169
2	169
1	976
1	1040
0	1040
2	1121
0	976
1	998
60	57
9	57
5	0
0	0
0	0
0	0
0	4
0	4
47	458
601	458
2280	42080
1276	42080
0	508
107	401
3	490
0	491
28	92
0	92
0	0
0	0
20	124
0	124
396	0
2	260
0	260
49	710
0	710
0	710
12	0
0	6
1	6
698	0
0	5
0	5
0	0
1	0
0	476
0	365
0	476
170	0
10	300
25	298
1	300
1	298
0	202
23	202
782	0
3714	8804
1	8801
791	8501
82	8797
0	434
88	434
148	1153
88	1151
4	1151
91	0
23	21
0	21
0	38
23	38
3465	2
191	0
4	98
0	98
11	547
31	547
0	981
17	981
0	48
1	48
0	48
0	48
2	40
160	124
10	124
5	0
0	0
0	0
47	1266
0	1324
1	1323
5	492
10	1104
0	1056
4	1191
0	505
56	1324
666	1336
0	1323
9	259
0	1203
4	250
5	647
31	436
29	307
17	275
24	275
0	69
0	69
573	0
3	0
0	153
0	153
0	153
5	0
50	0
211	0
138	0
0	0
1	0
68	631
8	653
28	653
0	631
0	587
4	2
0	2
9	194
0	194
1555	0
433	0
0	0
0	4659
30	4108
12	4659
0	505
0	505
3	0
0	0
0	0
4	22
0	22
2	552
0	552
0	338
0	320
45	860
0	321
8	300
5	294
0	327
0	330
0	320
0	328
13	313
0	856
50	871
5	871
0	853
0	852
0	852
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	1
0	1
0	8
1	264
1	8
0	8
1	8
1	0
0	0
0	0
2	0
0	0
0	0
16	0
0	523
15	523
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	281
53	281
0	5
0	5
2	5
0	5
0	5
2	5
0	5
0	0
0	0
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
154	380
0	380
0	173
0	162
0	162
0	340
6	342
0	0
0	0
0	11
0	11
0	0
0	415
0	370
3	830
1	588
21	580
0	633
8	861
0	414
0	580
0	741
329	1929
13	1940
390	1951
0	297
5	297
75	341
0	344
5	355
0	2
1	2
2	2
0	0
0	0
0	0
119	0
0	0
0	0
0	0
0	0
0	373
26	698
0	765
1	650
10	698
0	0
0	137
15	137
8	27
4	20
0	3049
0	2529
0	3674
0	3978
0	0
0	0
377	0
168	16419
23	16419
0	416
6	416
0	416
0	0
129	0
0	540
24	652
0	523
3	523
0	369
0	26
0	26
0	26
4	1173
0	1661
0	1493
0	1493
0	1474
4	1107
0	1156
0	1674
0	927
0	1005
0	1903
62	0
0	0
0	0
0	0
737	0
161	0
2	0
201	0
0	135
0	135
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	577
15	503
52	503
0	620
108	604
0	577
2	526
3	183
0	161
0	160
914	0
139	0
0	423
0	423
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	9058
4	9058
63	0
38	0
183	0
0	0
0	505
19	505
0	2583
2	2583
99	0
0	299
16	299
35	484
0	481
0	441
0	3656
0	4370
26	3714
0	4428
35	722
1	732
0	729
20	722
12	0
0	0
0	0
29	0
1	0
11	303
0	287
2	325
0	309
64	1729
0	1729
0	199
0	165
1	198
0	198
0	198
7	189
0	184
0	3
0	3
33	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	0
0	2863
0	3141
849	0
0	0
0	0
0	1
0	1
384	0
0	623
1	623
2	609
0	622
0	0
0	0
0	0
3	0
116	0
0	0
3	213
0	267
1	270
2	267
1	264
183	269
210	0
3	16
0	16
0	33
1	52
0	153
0	52
0	32
6	20
0	52
0	34
0	164
3	32
0	575
0	558
4	556
0	558
77	575
3	0
0	385
41	385
0	6
0	6
3	8
0	0
0	0
0	287
0	287
170	0
527	1570
17	1570
0	87
51	87
0	0
0	0
0	41
3	43
44	0
11	138
1	138
38	713
31	713
0	1484
4323	1462
110	1484
1	0
7	45
0	42
5	45
0	3
0	3
14	3
0	3
0	81
1	81
0	5
0	5
0	365
1	365
1	271
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	796
118	795
0	796
0	5
0	5
23	37
30	37
81	3252
33	3002
0	3252
2	392
0	392
264	0
1267	0
38	0
0	0
1738	0
97	1307
23	1307
0	1304
0	1307
0	151
3	155
0	587
0	607
0	608
11	607
1	590
93	210
10	398
0	398
3	1222
27	1199
33	1222
15	1199
533	0
287	0
0	212
0	171
0	179
905	0
1	68
0	68
24	68
2	226
30	226
0	197
103	197
0	119
3	119
9	0
0	0
0	0
8	0
28	258
0	264
0	264
2	2
0	2
25	855
0	855
0	0
0	0
0	4
0	4
0	2
0	4
1	4
0	4
7	6
207	818
2	818
117	1374
0	1357
4	1375
0	1357
2	1356
9	0
1	0
0	0
0	0
5	0
74	363
0	1029
4	1029
0	0
0	29
0	29
6	13
0	13
3	84
0	84
0	0
0	0
2	0
0	0
0	0
0	0
0	0
362	0
713	2
20	3647
0	3647
421	0
0	106
0	106
323	0
30	0
0	3
0	3
0	3
0	3
0	9
0	9
0	9
0	9
465	0
472	0
733	0
329	0
0	2852
0	2852
0	2852
6	2852
0	2851
155	0
2	488
0	476
2	474
0	488
3	0
0	856
0	826
3	856
212	0
1223	0
0	707
8	707
309	0
7	899
213	901
1	901
0	134
0	134
0	166
0	302
0	290
0	154
2	236
162	0
166	0
0	0
14	168
1	168
0	4
0	2
0	2
0	2
1607	0
12	1258
0	1212
0	1145
0	1149
0	1174
2	1158
0	0
0	0
319	0
0	8743
95	8743
0	0
0	0
24	398
0	398
5269	1
0	76
14	61
0	76
381	0
0	214
0	241
0	214
0	214
1	241
1892	1164
287	0
0	737
10	737
128	477
0	477
0	0
0	0
0	0
0	0
0	0
0	0
38	0
353	0
0	0
0	0
0	0
0	0
0	8
0	1
7	188
0	8
24896	3
1	2672
17	1907
3	1729
20	1892
55	235
14	239
0	239
569	10963
0	10963
100	698
0	635
0	643
0	690
0	580
342	0
0	0
1	125
0	125
30	143
0	143
0	142
3	0
2	0
0	0
0	662
0	604
6	622
1	564
0	622
107	488
16	473
8	488
29	473
13	473
7	0
651	1
1014	1938
5	1938
0	25
0	33
0	28
417	0
109	148
0	150
0	147
4	147
0	148
0	147
0	90
0	90
1	150
0	150
0	394
1	394
274	0
0	688
0	688
3	688
0	0
6	0
146	18
83	1
908	1
0	535
1	562
0	562
0	855
0	291
11	292
0	8
4	8
4	2161
857	2251
5	2253
4	2253
2	445
0	445
17	458
38	327
0	327
4	325
0	9
6	9
0	7
2	7
194	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3687	2
9	38
0	38
0	193
1	247
0	181
0	185
15	188
0	243
0	201
1	182
1	0
3	1315
0	1337
3	1318
0	1323
40	1361
1	1358
0	1367
5	1358
0	1397
4	1369
0	1266
57807	367208
1227	367206
0	2061
53	1913
12	1869
22	1912
262	1876
0	1862
3	1591
11	1593
101	562
27	559
0	490
425	0
0	0
0	0
0	0
0	0
0	0
68	405
23	405
3	0
17	78
0	78
0	108
25	108
1	0
4	0
240	0
1	450
331	450
2	3210
2	3210
5	10199
0	24192
243	13130
0	24191
113	13129
10842	2332
20335	2330
262	0
521	0
493	0
0	0
0	0
0	4
0	4
47	0
322	0
505	1410
15	1404
1	1408
4	1414
0	1408
197	2088
125	2088
0	265
141	194
20	194
0	0
0	0
0	0
21	103
1	103
0	9
0	9
309	0
248	0
0	276
5	276
2	214
16	214
0	0
16	0
347	0
445	0
1204	0
0	0
0	0
0	0
109	0
0	0
350	0
0	30
6	30
3	1929
9	1909
97	2166
12	1980
3	2118
525	0
336	1350
0	1344
18	1269
0	3
1	3
0	1231
0	1124
0	1137
0	1030
0	69
51	69
0	1292
481	1292
0	656
8	645
0	94
4	0
1	0
19	0
0	0
0	0
314	0
23	576
3	518
0	576
1	0
0	0
0	0
518	2
308	0
364	1
25	208
0	208
0	145
14	145
6	0
0	0
0	0
0	0
3	26
0	26
0	425
13	484
0	0
0	0
29	92
0	92
8	181
0	181
0	840
38	840
142	840
5	840
0	0
0	1
0	1
11	48
0	48
3	48
0	48
8	42
3	199
0	227
77	215
722	39
38	39
0	45
22	45
0	35
0	29
120	0
1	0
4	135
23	144
0	115
0	147
0	144
0	76
237	80
0	204
0	204
0	255
0	275
0	269
0	210
0	1767
0	1767
87	558
0	558
0	0
182	0
29	494
0	494
7	484
1	489
4	0
2	0
0	48
0	48
0	48
0	48
0	48
910	3746
529	3808
210	3808
58103	77
16389	3
0	4
0	4
2	0
40	108
0	108
1347	146
23	0
0	0
1	0
3544	3
117	864
2	778
4	814
0	865
132	130
0	130
104	0
4	354
0	367
11	411
0	459
0	410
0	411
34	1155
107	1175
0	1175
9	1031
11	1040
9	1039
11	1031
0	1034
2	1031
10	1061
22	1063
0	1034
0	0
0	0
0	1205
0	1205
0	1420
6	1420
22633	6
0	0
0	45
0	31
0	45
0	31
499	1004
0	1004
433	0
0	0
0	966
0	962
0	953
167	573
0	573
1	570
18	77
50	1787
59	1727
0	1868
12	1730
0	1751
0	1754
0	0
2	3
0	3
0	0
11	66
5	66
46	488
14	488
2	0
0	0
2	0
4	200
15	200
343	2627
46	2773
127	0
0	230
0	176
0	178
24	207
0	155
11	259
0	0
0	13
0	13
3	13
2	13
145	0
4	0
61	898
0	898
6	58
0	58
0	3935
26	3938
833	1
44	0
3	0
745	0
3	0
0	217
5	218
6	218
