UniqueCount	AmbigCount
401	34
39	34
5	0
9	16
2100	0
127	0
2	32
0	1
1	0
79	0
159	0
194	0
148	0
0	0
338	0
3	0
0	0
233	0
1681	0
0	0
37	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
3	0
0	0
1804	0
265	0
158	0
342	0
0	0
786	0
2	0
0	0
51	1
148	0
485	0
6	0
0	0
0	0
2	0
378	1
1549	0
2545	0
85	29
131	3
12	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
17	33
208	0
3	1093
1	0
0	0
0	0
153	0
0	0
2744	2
0	0
908	82
164	0
104	387
1465	1
0	0
85	0
7	0
58	180
0	0
67	104
23	0
0	0
2	2
10	0
0	0
348	0
229	0
0	0
56	8
224	0
0	0
9	0
0	0
279	0
0	0
0	0
6	0
83	0
19	15
1273	1
1418	2
202	1
8768	2
303	3
0	1007
109	100
195	0
1	0
72	0
232	0
12	47
0	0
0	181
4	0
0	0
0	0
126	996
740	0
51	0
314	0
477	0
236	0
5	0
0	0
0	0
0	0
14	0
0	0
158	0
103	0
1	0
29	0
732	0
7	0
359	0
2240	2
176	195
952	0
39	6
0	21
512	0
93	0
121	0
0	0
8	0
2	0
1639	1
370	0
0	0
0	0
120	0
1708	0
0	0
0	0
0	0
26	0
22	23
1	0
331	0
460	0
2	0
0	0
154	0
1122	8052
193	4
85	546
6	23
1370	2
70	0
2	0
7	0
0	0
162	0
0	0
98	0
507	1
0	0
168	1
87	0
639	0
443	690
0	0
0	0
0	0
5	0
0	20
97	0
0	0
76	0
461	0
359	0
194	0
0	0
3	0
24	0
0	0
0	0
38	286
25	0
2	0
0	0
2	0
140	0
3	0
11	0
206	0
490	0
0	0
0	0
425	0
920	0
0	0
0	0
476	0
2	0
760	0
0	0
483	0
0	20
342	0
0	54
1	2
314	210
155	438
0	0
1098	0
0	0
4	49
0	0
0	0
262	0
176	0
5	0
172	0
0	0
0	0
0	0
0	25
1512	0
6	0
677	871
171	0
1	0
0	0
0	0
0	0
0	0
0	0
1193	85
212	0
28	117
0	5
1965	0
0	3
0	0
0	0
483	4015
0	0
115	19
109	0
0	0
1	0
182	1695
544	0
1	0
0	0
8	0
0	0
3	0
4	0
865	0
0	0
5	0
3	0
8	0
0	0
0	0
85	0
9	0
0	0
77	472
9	74
30	690
370	1138
3374	0
0	2344
0	0
0	0
219	0
75	0
99	0
360	0
344	0
286	0
542	0
69	0
9	0
2	0
160	0
216	2
14	254
125	12
210	12
3	1296
24	0
217	0
998	0
0	0
2	0
11	0
147	0
48	0
197	0
377	32
4	32
3846	5
130	0
0	0
7861	1
0	72
181	0
1214	0
26	113
123	113
451	2
1	2
0	0
0	0
15	6
7551	5
9148	6
3	0
3	0
1	0
0	0
0	0
2	0
80	0
105	0
22	187
101	0
0	0
193	0
117	392
128	0
338	0
0	0
143	0
2	0
364	0
193	0
1657	0
0	0
36	0
90	0
626	0
76	589
161	0
4	0
554	1
1043	0
0	0
1	0
0	0
20	0
0	0
0	0
0	0
10405	12651
4604	0
1	0
30	0
0	0
0	0
0	0
0	0
0	2
66	0
0	0
0	0
1	0
25	0
142	0
664	0
64	0
1631	1
85	0
240	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
1921	0
2104	0
275	898
2029	0
217	0
0	85
0	1545
33	0
5	0
1	13
7	57
68	115
449	0
40	331
42	262
1772	0
568	0
15	44
5	120
268	0
7	48
0	0
0	0
4	0
657	0
0	0
0	0
0	0
0	0
1	0
0	0
30903	14
2490	4
0	0
0	0
0	0
0	0
64	0
2	3
11	0
1	0
143	0
130	0
2	0
11940	0
518	0
208	377
85	29
0	0
0	0
1	0
11	0
36	0
30	0
180	0
496	674
0	0
0	0
0	0
0	0
0	0
0	0
0	0
161	668
0	0
127	0
28	378
397	0
496	0
643	1
1708	0
1278	0
3	0
0	0
0	0
0	1
7	0
2	0
9	0
721	0
3192	0
0	27
45	0
194	0
280	1899
1	0
129	0
172	0
27	452
74	0
205	0
5	0
0	0
0	0
938	0
126956	284
84	0
286	0
53	0
0	0
0	0
0	0
133	0
0	0
0	0
6	0
0	0
0	0
411	0
186	0
0	0
0	0
154	0
530	0
14	0
5	0
0	0
149	2528
1263	1
1	0
234	0
206	0
75	375
0	1
518	0
218	0
5352	2
2868	1
1746	6
11	0
91	0
34	0
3	32
24	419
123	0
0	0
3	0
0	0
4	0
23	0
4	0
0	0
2	0
0	0
527	0
190	0
1962	1
0	1182
318	0
198	0
404	0
262	40
424	0
0	0
396	1
85	0
178	0
2884	0
0	0
0	0
0	0
0	0
13	0
4	26
12	16
589	0
384	1
0	0
0	126
66	974
6	95
0	0
0	0
0	0
136	0
1951	0
251	0
89	0
9	74
52	444
729	0
4977	4
533	0
151	0
0	35
0	0
797	0
69	0
54	229
437	1
74	190
3	0
0	0
0	1306
328	0
432	3491
19	0
126	0
0	0
0	0
321	0
252	0
114	0
0	0
173	0
14	0
0	0
0	0
0	0
0	0
0	0
0	1
8	0
0	0
125	0
0	0
120978	98
28943	22
10	0
34	870
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	12493
0	617
0	361
0	0
0	0
0	0
80	0
0	0
70	0
153	0
165	0
149	0
0	0
172	0
209	0
0	1402
2085	1
10	158
0	0
0	0
25	0
13	0
0	0
0	0
1281	0
0	0
0	0
0	0
0	0
21	0
0	0
2150	2400
2038	0
84	791
99	1726
4573	2
5421	1
127	0
153	0
0	3
104	0
0	2
1	0
399	1
5	0
3296	1
72	0
3	125
257	0
8767	4
84	440
31	0
859	0
0	0
435	0
72	0
1	0
330	0
18	0
0	0
0	0
0	0
2409	1
6	0
53	0
167	0
426	0
116	0
216	0
3	15
11	0
454	0
32	0
1589	2
4	0
914	0
584	7
0	0
0	0
0	21
192	1
18	0
0	0
311	0
0	0
1	0
665	0
133	0
17	0
1	1212
0	0
10	0
0	0
9	0
7	0
201	0
4	637
0	0
66	0
0	0
0	0
185	0
0	0
0	0
0	0
417	0
0	4
851	0
3960	5
1641	6
1	0
13100	37
16	25
3	0
44	0
0	193
173	0
199	0
329	0
53	470
177	0
197	0
170	0
61	118
0	2
351	0
281	0
6	0
41	616
1669	0
13	75
6	131
168	0
297	1
13	0
2	0
1	0
405079	165
1109	0
2104	0
234	0
8793	0
100	0
25	64
176	0
0	0
0	0
3815	3
86	80
1	2332
344	0
62	0
66	0
29	0
2401	0
1	0
6334	4
21802	7
41	0
0	0
0	0
4	0
8	0
22	0
95	0
10	0
84	0
119	0
0	0
0	0
318	4
295	0
177	0
183	0
11	0
205	0
0	0
80	0
2	0
1	306
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
24	13
12945	8
2	3
0	0
167	0
1	0
482	2
1	0
14	0
0	0
0	0
0	0
0	0
295	0
0	0
39501	29
0	0
0	0
28	0
1	0
0	0
2310	0
1	0
0	0
0	0
8	345
5034	2
234705	80
18	0
0	0
0	0
2783	0
0	0
0	0
2256	1
303	0
676	3
2805	0
266	0
51	0
179	0
611	1
0	0
0	0
2	0
6	0
205	318
25	0
91	0
61	0
39	0
62	0
20	376
300	0
661	0
3592	0
143	0
9	0
0	0
255	0
145	0
65	0
218	0
124	716
2632	11665
0	72
42	0
0	0
0	0
417	0
277	0
0	650
89	0
1018	0
1356	2663
539	0
595	0
0	0
887	1
297	0
176	0
0	147
611	0
952	0
655	0
1356	1
19	0
518	0
68	0
486	0
2	0
3	0
590	0
812	1
2	0
241	0
156	0
362	0
1548	0
213	0
58	0
2734	0
44	0
1622	1
536	0
94	0
81	0
6	6
191	0
270	0
0	0
2	0
113	1019
4	0
101	17
0	17
67	0
40	0
4	0
0	0
159326	49463
924048	342
3	0
2	0
0	0
0	0
7	0
