UniqueCount	AmbigCount
113	0
0	0
0	18
0	18
0	18
0	18
4	0
224	0
0	61
0	61
1	61
0	212
0	267
0	268
0	271
8	216
0	213
0	0
191	0
140	0
1141	0
0	442
16	441
0	540
0	528
0	500
3	442
0	488
580	0
33	29
27	29
227	0
0	0
9	0
271	0
0	556
207	556
2	556
176	0
0	0
0	0
29688	96
874	0
6831	54104
2638	54108
3	0
490	0
0	0
0	0
0	0
0	0
0	0
0	0
13642	6
49	0
7	0
583	0
0	0
1	0
0	0
7	196
2	206
38	206
905	0
298	37
494	0
107	0
0	0
1114	0
6330	4
266	0
258	0
193	0
11	204
3	123
38	206
0	0
24	279
337	0
2	0
620	0
2	0
5276	17
173	1
774	68
124	0
17	6
68	0
1	0
2144	3
5	83291
5732	83286
196	83256
0	0
0	0
0	0
0	0
17	0
0	11
0	11
0	11
53	1340
8	1340
951	0
14	0
14	490
24	490
167	0
986	0
50	0
0	1204
30	997
7	1157
0	287
43	138
0	120
0	138
0	119
6	0
1	0
263	0
0	0
440	0
0	20
0	20
2	435
1	435
373	0
2	0
2153	0
17	664
0	858
8	854
14	664
15	852
10220	8
170415	98
0	0
324	0
67	0
13	0
28	560
911	560
1707	1
0	0
7	0
0	0
1189	0
0	0
0	0
0	34
0	19
1	23
0	17
198	0
259	0
2064	0
81857	51
58	0
40	82
2	25
2	25
0	84
652	108
0	108
382	0
99	0
3	0
6826	2
0	0
2	16
0	12
2	12
0	12
8	771
0	771
264	0
1	1755
3	1755
126	1755
109	0
533	0
2	56
12	56
2858	0
0	0
0	630
37	716
0	597
13	512
0	1
0	0
0	0
0	1
0	0
0	0
1	13
0	13
0	13
2	13
5	6
0	395
0	6
0	6
1	401
0	8
53	27
0	395
0	386
0	417
2	9
2	6
0	387
160	4
3660	0
80	0
66	0
0	0
1	0
194992	76
28904	12
553	0
0	169
0	191
2	232
1	269
10	176
1	1
477	0
0	0
0	0
95185	47
1	0
0	0
384	0
31	0
68	917
12	917
0	0
0	0
0	0
150	635
0	635
315	203
1	203
206	1
27	0
486	0
998	0
550	1
1001	0
0	0
0	0
0	0
270	0
1	0
0	0
434	228
0	228
7771	1
5	0
0	5475
10	6109
336	6367
3	5714
84	0
0	565
0	513
0	577
0	508
0	574
0	549
0	386
0	540
0	526
0	599
0	561
0	534
0	583
0	537
0	558
0	528
0	542
0	529
0	533
1150	0
0	0
3	690
400	734
6	734
0	0
15217	8
0	0
0	0
351	0
2235	1
203	0
4	460
0	459
43371	9
510	50
0	50
0	116
0	116
819	0
915	0
31039	12
238	0
0	0
575	0
3	0
2	0
1100	0
43	0
31965	11
0	0
0	1037
543	1086
2	1086
46	1037
0	0
7	546
13	585
0	650
9	554
279	0
0	233
11	226
1	233
2	231
0	234
11	227
0	233
0	228
3	229
0	226
0	224
0	231
0	234
0	230
0	230
0	566
14	566
3590	2
1341	4
0	0
0	0
0	0
2	0
0	1
0	1
0	1
65	0
0	0
15	263
0	259
0	260
52	682
76	682
159	0
1264	0
3	100
5	100
1	2065
276	2063
325	2064
39	227
