Nep3-PA	2361	FBgn0031081	FBtr0070000
Nep3-PB	2361	FBgn0031081	FBtr0307554
Nep3-PC	2361	FBgn0031081	FBtr0307555
CG9570-PA	633	FBgn0031085	FBtr0070002
fd19B-PA	783	FBgn0031086	FBtr0070032
CG17003-PA	864	FBgn0031082	FBtr0070035
CG12655-PA	468	FBgn0031080	FBtr0070036
RpL10-PC	657	FBgn0024733	FBtr0299869
RpL10-PD	657	FBgn0024733	FBtr0299870
RpL10-PE	657	FBgn0024733	FBtr0333910
G9a-PA	4914	FBgn0040372	FBtr0070063
G9a-PB	4974	FBgn0040372	FBtr0332992
cin-PB	1806	FBgn0000316	FBtr0070064
cin-PA	1806	FBgn0000316	FBtr0070065
CG3777-PB	2640	FBgn0024989	FBtr0070066
CG3777-PA	2640	FBgn0024989	FBtr0070067
CG3777-PC	2640	FBgn0024989	FBtr0070068
CG3777-PD	2640	FBgn0024989	FBtr0342962
CG3777-PE	2640	FBgn0024989	FBtr0344149
CG12470-PA	588	FBgn0040371	FBtr0070069
Or1a-PA	1179	FBgn0029521	FBtr0070070
y-PA	1626	FBgn0004034	FBtr0070071
ac-PA	606	FBgn0000022	FBtr0070072
sc-PA	1038	FBgn0004170	FBtr0070073
l(1)sc-PA	774	FBgn0002561	FBtr0070074
ase-PA	1461	FBgn0000137	FBtr0070075
CG3156-PA	2079	FBgn0023536	FBtr0070079
CG17778-PA	384	FBgn0023534	FBtr0070080
CG17778-PB	384	FBgn0023534	FBtr0340145
arg-PA	1056	FBgn0023535	FBtr0070088
CG17896-PB	1563	FBgn0023537	FBtr0070092
CG17896-PA	1536	FBgn0023537	FBtr0070093
CG18273-PA	4134	FBgn0029525	FBtr0070094
Cyp4g1-PA	1671	FBgn0010019	FBtr0070099
Pgcl-PA	1224	FBgn0011822	FBtr0070100
CG32816-PB	1137	FBgn0052816	FBtr0070101
CG32816-PA	1137	FBgn0052816	FBtr0070102
CG32816-PC	882	FBgn0052816	FBtr0273442
CG32816-PD	882	FBgn0052816	FBtr0273443
CG32816-PE	1137	FBgn0052816	FBtr0344150
CG32816-PF	1137	FBgn0052816	FBtr0344151
CG13375-PA	921	FBgn0040370	FBtr0070103
CG13375-PB	921	FBgn0040370	FBtr0300326
CG13375-PC	834	FBgn0040370	FBtr0342963
CG3038-PB	1077	FBgn0040373	FBtr0070107
CG3038-PA	1167	FBgn0040373	FBtr0070108
CG3038-PC	1080	FBgn0040373	FBtr0340207
Appl-PA	2664	FBgn0000108	FBtr0070109
Appl-PB	2673	FBgn0000108	FBtr0307291
Appl-PC	2493	FBgn0000108	FBtr0307292
Appl-PD	2667	FBgn0000108	FBtr0307293
