FBgn0000008	a	FBgn0269458
FBgn0000014	abd-A	FBgn0191744
FBgn0000015	Abd-B	FBgn0025043
FBgn0000018	abo	FBgn0193617
FBgn0000022	ac	FBgn0269163
FBgn0000024	Ace	FBgn0022516
FBgn0000028	acj6	FBgn0187465
FBgn0000032	Acph-1	FBgn0189058
FBgn0000036	nAChRalpha1	FBgn0189822
FBgn0000037	mAChR-A	FBgn0196275
FBgn0000038	nAChRbeta1	FBgn0185542
FBgn0000039	nAChRalpha2	FBgn0192557
FBgn0000052	Pfas	FBgn0194006
FBgn0000053	Gart	FBgn0193920
FBgn0000055	Adh	FBgn0012824
FBgn0000056	Adhr	FBgn0012825
FBgn0000057	adp	FBgn0183092
FBgn0000061	al	FBgn0194411
FBgn0000063	Mps1	FBgn0190685
FBgn0000064	Ald1	FBgn0189683
FBgn0000071	Ama	FBgn0046919
FBgn0000075	amd	FBgn0018304
FBgn0000077	amx	FBgn0195895
FBgn0000083	AnxB9	FBgn0190894
FBgn0000084	AnxB10	FBgn0194323
FBgn0000092	dyw	FBgn0063996
FBgn0000094	Anp	FBgn0025411
FBgn0000097	aop	FBgn0194265
FBgn0000100	RpLP0	FBgn0186691
FBgn0000108	Appl	FBgn0188117
FBgn0000109	Aprt	FBgn0185140
FBgn0000114	bru1	FBgn0195198
FBgn0000115	Arl1	FBgn0186266
FBgn0000116	Argk	FBgn0270458
FBgn0000117	arm	FBgn0188022
FBgn0000119	arr	FBgn0197040
FBgn0000120	Arr1	FBgn0195482
FBgn0000121	Arr2	FBgn0184693
FBgn0000137	ase	FBgn0188111
FBgn0000139	ash2	FBgn0192569
FBgn0000140	asp	FBgn0192578
FBgn0000146	aub	FBgn0193614
FBgn0000147	aurA	FBgn0190309
FBgn0000150	awd	FBgn0187960
FBgn0000152	Axs	FBgn0187395
FBgn0000153	b	FBgn0195294
FBgn0000157	Dll	FBgn0183640
FBgn0000158	bam	FBgn0084466
FBgn0000163	baz	FBgn0188891
FBgn0000166	bcd	FBgn0012864
FBgn0000173	ben	FBgn0188718
FBgn0000179	bi	FBgn0188280
FBgn0000180	bib	FBgn0195024
FBgn0000181	bic	FBgn0182687
FBgn0000182	BicC	FBgn0195395
FBgn0000183	BicD	FBgn0193286
FBgn0000206	boss	FBgn0020078
FBgn0000212	brm	FBgn0184253
FBgn0000216	Brd	FBgn0186193
FBgn0000221	brn	FBgn0188259
FBgn0000227	Bsg25A	FBgn0194094
FBgn0000228	Bsg25D	FBgn0194056
FBgn0000229	bsk	FBgn0193697
FBgn0000233	btd	FBgn0188541
FBgn0000239	bur	FBgn0193069
FBgn0000241	bw	FBgn0196351
FBgn0000244	by	FBgn0192253
FBgn0000246	c(3)G	FBgn0191803
FBgn0000247	ca	FBgn0192904
FBgn0000250	cact	FBgn0067503
FBgn0000251	cad	FBgn0195628
FBgn0000253	Cam	FBgn0182612
FBgn0000256	capu	FBgn0194121
FBgn0000257	car	FBgn0189001
FBgn0000259	CkIIbeta	FBgn0188623
FBgn0000261	Cat	FBgn0022505
FBgn0000273	Pka-C1	FBgn0193752
FBgn0000274	Pka-C2	FBgn0188462
FBgn0000278	CecB	FBgn0025038
FBgn0000283	Cp190	FBgn0041670
FBgn0000286	Cf2	FBgn0194080
FBgn0000287	salr	FBgn0195148
FBgn0000289	cg	FBgn0182788
FBgn0000299	Col4a1	FBgn0194704
FBgn0000303	ChAT	FBgn0190751
FBgn0000307	chif	FBgn0193330
FBgn0000308	chic	FBgn0083419
FBgn0000316	cin	FBgn0188107
FBgn0000317	ck	FBgn0193388
FBgn0000318	cl	FBgn0194731
FBgn0000319	Chc	FBgn0187434
FBgn0000320	eya	FBgn0193969
FBgn0000326	clt	FBgn0196495
FBgn0000330	cm	FBgn0187799
FBgn0000337	cn	FBgn0186970
FBgn0000339	cni	FBgn0193337
FBgn0000346	comt	FBgn0188680
FBgn0000351	cort	FBgn0193955
FBgn0000352	cos	FBgn0182039
FBgn0000355	Cp15	FBgn0185813
FBgn0000356	Cp16	FBgn0083437
FBgn0000358	Cp19	FBgn0185814
FBgn0000359	Cp36	FBgn0188485
FBgn0000360	Cp38	FBgn0269669
FBgn0000370	crc	FBgn0195663
FBgn0000376	crm	FBgn0041270
FBgn0000377	crn	FBgn0195941
FBgn0000382	csw	FBgn0196052
FBgn0000384	cta	FBgn0189221
FBgn0000392	cup	FBgn0194809
FBgn0000394	cv	FBgn0188332
FBgn0000395	cv-2	FBgn0196513
FBgn0000404	CycA	FBgn0184498
FBgn0000405	CycB	FBgn0187170
FBgn0000406	Cyt-b5-r	FBgn0193313
FBgn0000411	D	FBgn0184354
FBgn0000412	D1	FBgn0269640
FBgn0000414	Dab	FBgn0186334
FBgn0000416	Sap-r	FBgn0083425
FBgn0000422	Ddc	FBgn0016334
FBgn0000426	SmF	FBgn0186911
FBgn0000427	dec-1	FBgn0012868
FBgn0000439	Dfd	FBgn0191381
FBgn0000442	Pkg21D	FBgn0194336
FBgn0000447	Dhod	FBgn0192317
FBgn0000448	Hr3	FBgn0197277
FBgn0000449	dib	FBgn0185507
FBgn0000451	ect	FBgn0184594
FBgn0000454	Dip-B	FBgn0190445
FBgn0000455	Dip-C	FBgn0192038
FBgn0000459	disco	FBgn0270117
FBgn0000463	Dl	FBgn0014814
FBgn0000464	Lar	FBgn0195579
FBgn0000473	Cyp6a2	FBgn0068665
FBgn0000477	DNaseII	FBgn0190699
FBgn0000479	dnc	FBgn0188231
FBgn0000482	dor	FBgn0085986
FBgn0000489	Pka-C3	FBgn0184257
FBgn0000490	dpp	FBgn0015673
FBgn0000492	Dr	FBgn0192875
FBgn0000499	dsh	FBgn0270641
FBgn0000500	Dsk	FBgn0191192
FBgn0000504	dsx	FBgn0190947
FBgn0000520	dwg	FBgn0188214
FBgn0000524	dx	FBgn0188389
FBgn0000527	e	FBgn0262091
