chr	peak_start	peak_end	peak_name	TSS_start	TSS_end	gene	strand	dist
Scf_2L	50622	50837	peak_6	52875	53457	FBgn0194389	+	2039
Scf_2L	57405	57622	peak_8	57666	57768	FBgn0194390	+	45
Scf_2L	66637	67652	peak_10	62374	62497	FBgn0268949	+	-4141
Scf_2L	88354	88566	peak_13	88486	88562	FBgn0194392	+	0
Scf_2L	91494	91882	peak_15	92731	92857	FBgn0194383	-	850
Scf_2L	117184	117872	peak_22	117804	118004	FBgn0194394	+	0
Scf_2L	128152	128367	peak_25	128112	128719	FBgn0194377	-	0
Scf_2L	206470	206748	peak_35	207573	207887	FBgn0194370	-	826
Scf_2L	240414	240804	peak_49	238479	238539	FBgn0194368	-	-1876
Scf_2L	257945	258119	peak_51	257880	258006	FBgn0194367	-	0
Scf_2L	280869	281038	peak_58	280753	280956	FBgn0194360	-	0
Scf_2L	301360	301528	peak_65	296379	296781	FBgn0194408	+	-4580
Scf_2L	303444	303595	peak_66	307493	307524	FBgn0194358	-	3899
Scf_2L	462089	462353	peak_83	462354	463228	FBgn0194421	+	2
Scf_2L	492527	492771	peak_88	515725	515918	FBgn0194347	-	22955
Scf_2L	550543	550724	peak_100	548069	548195	FBgn0194426	+	-2349
Scf_2L	601824	602829	peak_111	599214	599240	FBgn0194431	+	-2585
Scf_2L	704201	704363	peak_118	773581	773671	FBgn0194437	+	69219
Scf_2L	774293	774830	peak_122	774569	774619	FBgn0194438	+	0
Scf_2L	810242	810584	peak_131	812820	813830	FBgn0194332	-	2237
Scf_2L	953897	954115	peak_145	990926	991160	FBgn0194327	-	36812
Scf_2L	1021750	1021931	peak_148	1024764	1025744	FBgn0194325	-	2834
Scf_2L	1062574	1063030	peak_155	1055848	1056037	FBgn0194322	-	-6538
Scf_2L	1071775	1072160	peak_157	1076033	1076202	FBgn0194321	-	3874
Scf_2L	1094799	1094951	peak_161	1094871	1094899	FBgn0194464	+	0
Scf_2L	1169044	1169302	peak_174	1179601	1179637	FBgn0194481	+	10300
Scf_2L	1314959	1315083	peak_180	1299527	1299619	FBgn0194304	-	-15341
Scf_2L	1383797	1384196	peak_182	1357710	1357994	FBgn0194303	-	-25804
Scf_2L	1597289	1597426	peak_197	1631600	1631809	FBgn0194500	+	34175
Scf_2L	1646793	1647796	peak_203	1650527	1650977	FBgn0194294	-	2732
Scf_2L	1813430	1813668	peak_215	1799682	1800363	FBgn0194509	+	-13068
Scf_2L	1883256	1883612	peak_223	1884484	1884788	FBgn0194510	+	873
Scf_2L	1889817	1889964	peak_225	1891027	1891178	FBgn0194276	-	1064
Scf_2L	1900967	1901105	peak_228	1902539	1902573	FBgn0268669	-	1435
Scf_2L	1955268	1955433	peak_236	1955356	1955463	FBgn0194519	+	0
Scf_2L	2027196	2027510	peak_240	2024065	2024257	FBgn0194522	+	-2940
Scf_2L	2044465	2044709	peak_243	2044976	2045251	FBgn0194524	+	268
Scf_2L	2084298	2084548	peak_253	2085721	2085847	FBgn0194264	-	1174
Scf_2L	2136443	2136785	peak_271	2135983	2136138	FBgn0194530	+	-306
Scf_2L	2197036	2197760	peak_276	2199012	2199107	FBgn0194536	+	1253
Scf_2L	2322926	2323160	peak_289	2321706	2322353	FBgn0015673	+	-574
Scf_2L	2377622	2377794	peak_294	2385977	2386199	FBgn0194225	-	8184
Scf_2L	2465121	2465483	peak_297	2465077	2465414	FBgn0194215	-	0
Scf_2L	2614497	2614964	peak_304	2617802	2618048	FBgn0194563	+	2839
Scf_2L	2632469	2632613	peak_310	2632530	2632654	FBgn0194565	+	0
Scf_2L	2644626	2644772	peak_315	2646681	2647129	FBgn0194202	-	1910
Scf_2L	2805567	2805794	peak_345	2822663	2823244	FBgn0194583	+	16870
Scf_2L	2833175	2833402	peak_346	2832380	2832385	FBgn0194584	+	-791
Scf_2L	2909119	2909285	peak_361	2909223	2909448	FBgn0194590	+	0
