a-PB	3990	FBgn0000008	FBtr0071764
abd-A-PB	1773	FBgn0000014	FBtr0083388
Abd-B-PB	1482	FBgn0000015	FBtr0083384
abo-PA	1620	FBgn0000018	FBtr0080168
ac-PA	606	FBgn0000022	FBtr0070072
Ace-PA	1950	FBgn0000024	FBtr0082780
acj6-PA	1191	FBgn0000028	FBtr0074015
Acph-1-PB	1368	FBgn0000032	FBtr0085610
nAChRalpha1-PB	1794	FBgn0000036	FBtr0330310
mAChR-A-PB	2418	FBgn0000037	FBtr0072368
nAChRbeta1-PA	1566	FBgn0000038	FBtr0073299
nAChRalpha2-PA	1731	FBgn0000039	FBtr0084639
Pfas-PA	4065	FBgn0000052	FBtr0079219
Gart-PA	4062	FBgn0000053	FBtr0079431
Adh-PC	771	FBgn0000055	FBtr0100589
Adhr-PA	819	FBgn0000056	FBtr0006151
adp-PA	1887	FBgn0000057	FBtr0086744
al-PA	1227	FBgn0000061	FBtr0078053
Mps1-PB	2019	FBgn0000063	FBtr0331348
Ald1-PE	1092	FBgn0000064	FBtr0085000
Ama-PB	1026	FBgn0000071	FBtr0081618
amd-PB	1533	FBgn0000075	FBtr0081153
amx-PA	855	FBgn0000077	FBtr0071331
AnxB9-PD	975	FBgn0000083	FBtr0089520
AnxB10-PB	966	FBgn0000084	FBtr0301931
dyw-PA	783	FBgn0000092	FBtr0070504
Anp-PA	174	FBgn0000094	FBtr0085611
aop-PB	2199	FBgn0000097	FBtr0077850
RpLP0-PA	954	FBgn0000100	FBtr0078481
Appl-PB	2673	FBgn0000108	FBtr0307291
Aprt-PA	549	FBgn0000109	FBtr0089420
bru1-PB	2433	FBgn0000114	FBtr0080344
Arl1-PA	543	FBgn0000115	FBtr0075517
Argk-PA	1689	FBgn0000116	FBtr0076543
arm-PA	2532	FBgn0000117	FBtr0089991
arr-PA	5037	FBgn0000119	FBtr0087702
Arr1-PA	1095	FBgn0000120	FBtr0081030
Arr2-PA	1206	FBgn0000121	FBtr0076599
ase-PA	1461	FBgn0000137	FBtr0070075
asp-PA	5865	FBgn0000140	FBtr0084692
aub-PA	2601	FBgn0000146	FBtr0080165
aurA-PA	1236	FBgn0000147	FBtr0082483
awd-PC	507	FBgn0000150	FBtr0339146
Axs-PA	1941	FBgn0000152	FBtr0074372
b-PA	1728	FBgn0000153	FBtr0080542
Dll-PC	1044	FBgn0000157	FBtr0300076
bam-PA	1329	FBgn0000158	FBtr0084869
baz-PB	4563	FBgn0000163	FBtr0111000
bcd-PG	1485	FBgn0000166	FBtr0081668
ben-PA	456	FBgn0000173	FBtr0073855
bi-PF	3072	FBgn0000179	FBtr0331162
bib-PB	2214	FBgn0000180	FBtr0329984
bic-PA	510	FBgn0000181	FBtr0087782
BicC-PB	2718	FBgn0000182	FBtr0080804
BicD-PD	2409	FBgn0000183	FBtr0330226
boss-PA	2691	FBgn0000206	FBtr0084949
brm-PE	4977	FBgn0000212	FBtr0330160
Brd-PA	246	FBgn0000216	FBtr0075621
brn-PA	978	FBgn0000221	FBtr0070638
Elba1-PA	1092	FBgn0000227	FBtr0077423
Bsg25D-PG	3357	FBgn0000228	FBtr0310625
bsk-PB	1119	FBgn0000229	FBtr0080087
btd-PA	1935	FBgn0000233	FBtr0071379
bur-PB	2052	FBgn0000239	FBtr0301342
bw-PA	2029	FBgn0000241	FBtr0072117
by-PA	2163	FBgn0000244	FBtr0082119
c(3)G-PA	2235	FBgn0000246	FBtr0083194
ca-PA	5886	FBgn0000247	FBtr0085484
cact-PA	1503	FBgn0000250	FBtr0080844
cad-PC	1338	FBgn0000251	FBtr0335152
Cam-PA	450	FBgn0000253	FBtr0088001
capu-PF	4086	FBgn0000256	FBtr0290078
car-PC	1920	FBgn0000257	FBtr0331158
CkIIbeta-PE	708	FBgn0000259	FBtr0073562
Cat-PA	1521	FBgn0000261	FBtr0075058
Pka-C1-PB	1062	FBgn0000273	FBtr0079851
Pka-C2-PB	1065	FBgn0000274	FBtr0085727
CecB-PA	192	FBgn0000278	FBtr0085640
Cp190-PA	3291	FBgn0000283	FBtr0083126
Cf2-PG	1614	FBgn0000286	FBtr0472669
salr-PA	3804	FBgn0000287	FBtr0080235
cg-PL	2514	FBgn0000289	FBtr0339961
Col4a1-PC	5340	FBgn0000299	FBtr0079001
ChAT-PA	2166	FBgn0000303	FBtr0089367
chif-PA	5136	FBgn0000307	FBtr0080838
chic-PA	381	FBgn0000308	FBtr0079233
cin-PB	1806	FBgn0000316	FBtr0070064
ck-PA	6504	FBgn0000317	FBtr0080723
cl-PA	381	FBgn0000318	FBtr0079095
Chc-PA	5037	FBgn0000319	FBtr0074179
eya-PA	2301	FBgn0000320	FBtr0079335
clt-PA	1689	FBgn0000326	FBtr0071687
cm-PA	1248	FBgn0000330	FBtr0071033
cn-PB	1344	FBgn0000337	FBtr0344723
cni-PA	435	FBgn0000339	FBtr0080848
comt-PA	2238	FBgn0000346	FBtr0073754
cort-PA	1452	FBgn0000351	FBtr0079320
cos-PA	3606	FBgn0000352	FBtr0089015
Cp15-PA	348	FBgn0000355	FBtr0076572
Cp16-PA	417	FBgn0000356	FBtr0076574
Cp19-PA	522	FBgn0000358	FBtr0076573
Cp36-PA	855	FBgn0000359	FBtr0071203
Cp38-PA	921	FBgn0000360	FBtr0071204
crc-PA	1146	FBgn0000370	FBtr0081512
crm-PB	2949	FBgn0000376	FBtr0070495
crn-PA	2109	FBgn0000377	FBtr0070418
csw-PB	2838	FBgn0000382	FBtr0070379
cta-PA	1374	FBgn0000384	FBtr0111126
cup-PB	3354	FBgn0000392	FBtr0290322
cv-PA	774	FBgn0000394	FBtr0070804
cv-2-PA	2256	FBgn0000395	FBtr0071610
CycA-PA	1476	FBgn0000404	FBtr0076075
CycB-PA	1593	FBgn0000405	FBtr0071911
Cyt-b5-r-PA	1311	FBgn0000406	FBtr0080932
D-PA	1149	FBgn0000411	FBtr0075746
D1-PC	1068	FBgn0000412	FBtr0081987
Dab-PF	7083	FBgn0000414	FBtr0330189
Sap-r-PA	2862	FBgn0000416	FBtr0085713
Ddc-PC	1533	FBgn0000422	FBtr0081167
SmF-PA	267	FBgn0000426	FBtr0088010
dec-PA	4773	FBgn0000427	FBtr0071145
Dfd-PA	1761	FBgn0000439	FBtr0081621
Pkg21D-PA	2307	FBgn0000442	FBtr0078042
