gene	JC	K2P
FBgn0000008	 10.24 10.29
FBgn0000014	  -0.00  -0.00
FBgn0000015	  2.03  2.04
FBgn0000017	  4.24  4.26
FBgn0000022	  1.01  1.01
FBgn0000024	  -0.00  -0.00
FBgn0000028	  -0.00  -0.00
FBgn0000032	 12.87 12.89
FBgn0000036	  1.01  1.01
FBgn0000037	  2.03  2.04
FBgn0000038	  -0.00  -0.00
FBgn0000039	  4.15  4.16
FBgn0000042	  1.01  1.01
FBgn0000043	  6.05  6.05
FBgn0000044	  -0.00  -0.00
FBgn0000045	  2.03  2.03
FBgn0000046	  -0.00  -0.00
FBgn0000047	  2.03  2.03
FBgn0000052	  7.35  7.37
FBgn0000053	  4.38  4.45
FBgn0000057	  7.51  7.51
FBgn0000061	  1.01  1.01
FBgn0000063	 11.34 11.42
FBgn0000064	  9.59  9.59
FBgn0000071	  5.17  5.22
FBgn0000077	  3.16  3.17
FBgn0000079	  3.06  3.07
FBgn0000083	  3.06  3.07
FBgn0000084	  4.11  4.11
FBgn0000092	  1.01  1.01
FBgn0000094	  4.15  4.18
FBgn0000097	  6.60  6.60
FBgn0000100	  6.98  6.99
FBgn0000108	  2.03  2.04
FBgn0000109	 14.68 14.80
FBgn0000115	  7.35  7.35
FBgn0000116	  1.01  1.01
FBgn0000119	  7.43  7.43
FBgn0000120	  -0.00  -0.00
FBgn0000121	  1.01  1.01
FBgn0000137	  2.03  2.03
FBgn0000139	  -0.00  -0.00
FBgn0000140	  5.23  5.24
FBgn0000147	-nan	-nan
FBgn0000150	 12.43 12.45
FBgn0000152	  8.46  8.48
FBgn0000153	  1.01  1.01
FBgn0000157	  -0.00  -0.00
FBgn0000158	  5.77  5.80
FBgn0000173	  7.35  7.35
FBgn0000179	  5.17  5.19
FBgn0000180	  1.02  1.02
FBgn0000181	  1.01  1.01
FBgn0000183	  5.17  5.19
FBgn0000206	  5.17  5.18
FBgn0000212	  1.01  1.01
FBgn0000216	  6.25  6.26
FBgn0000221	  8.64  8.67
FBgn0000227	  9.59  9.67
FBgn0000228	-nan	-nan
FBgn0000229	  9.59  9.63
FBgn0000233	  -0.00  -0.00
FBgn0000239	 11.21 11.22
FBgn0000244	  6.44  6.44
FBgn0000246	 10.73 10.86
FBgn0000247	  5.17  5.18
FBgn0000251	  2.07  2.07
FBgn0000253	  -0.00  -0.00
FBgn0000256	  -0.00  -0.00
FBgn0000257	-nan	-nan
FBgn0000273	  9.59  9.63
FBgn0000274	  7.23  7.28
FBgn0000276	  5.34  5.36
FBgn0000277	  9.80  9.89
FBgn0000278	  5.34  5.36
FBgn0000279	  2.03  2.04
FBgn0000281	  6.32  6.33
FBgn0000283	 10.97 11.00
FBgn0000286	  9.59  9.60
FBgn0000287	  2.03  2.04
FBgn0000289	 10.73 10.73
FBgn0000299	  2.03  2.03
FBgn0000308	  8.74  8.79
FBgn0000317	  8.55  8.55
FBgn0000318	  7.80  7.86
FBgn0000320	  2.03  2.03
FBgn0000326	 18.16 18.53
FBgn0000330	  8.51  8.55
FBgn0000337	  4.11  4.13
FBgn0000339	  5.17  5.18
FBgn0000352	  9.14  9.20
FBgn0000355	  -0.00  -0.00
FBgn0000356	  -0.00  -0.00
FBgn0000357	  1.01  1.01
FBgn0000358	  1.01  1.01
FBgn0000359	  1.01  1.01
FBgn0000360	  -0.00  -0.00
FBgn0000376	  4.11  4.13
FBgn0000382	  7.35  7.35
FBgn0000384	  6.98  7.16
FBgn0000394	  7.35  7.41
FBgn0000395	  3.49  3.49
FBgn0000404	  9.30  9.31
FBgn0000405	  -0.00  -0.00
FBgn0000406	  3.06  3.07
FBgn0000411	-nan	-nan
FBgn0000414	  7.35  7.47
FBgn0000416	 11.47 11.48
FBgn0000422	  3.06  3.06
FBgn0000426	 12.30 12.35
FBgn0000427	  3.06  3.06
FBgn0000439	  3.06  3.09
FBgn0000442	  3.16  3.17
FBgn0000447	  7.32  7.34
FBgn0000448	  -0.00  -0.00
FBgn0000449	  5.17  5.18
FBgn0000451	  3.06  3.06
FBgn0000455	  4.11  4.11
FBgn0000459	  -0.00  -0.00
FBgn0000463	  3.06  3.07
FBgn0000464	  4.11  4.11
FBgn0000477	  9.57  9.60
FBgn0000482	  6.98  6.99
FBgn0000489	  6.82  6.87
FBgn0000490	  -0.00  -0.00
FBgn0000492	  3.06  3.09
FBgn0000499	 10.73 10.74
FBgn0000500	 14.68 14.80
FBgn0000524	  4.53  4.53
FBgn0000527	  3.06  3.06
FBgn0000529	  -0.00  -0.00
FBgn0000533	  4.11  4.11
FBgn0000535	  3.06  3.09
FBgn0000536	  6.25  6.26
FBgn0000541	  5.17  5.18
FBgn0000543	  6.13  6.13
FBgn0000546	  4.11  4.11
FBgn0000547	  3.19  3.20
FBgn0000551	  7.93  7.94
FBgn0000552	  7.35  7.35
FBgn0000557	  5.17  5.18
FBgn0000560	  1.03  1.03
FBgn0000564	  -0.00  -0.00
FBgn0000565	  -0.00  -0.00
FBgn0000567	  1.15  1.15
FBgn0000568	  -0.00  -0.00
FBgn0000575	  2.03  2.03
FBgn0000576	  1.01  1.01
FBgn0000577	  -0.00  -0.00
FBgn0000578	  7.35  7.37
FBgn0000579	  8.41  8.41
FBgn0000581	  1.04  1.04
FBgn0000591	  -0.00  -0.00
FBgn0000592	  -0.00  -0.00
FBgn0000606	  1.01  1.01
FBgn0000611	  3.06  3.06
FBgn0000615	 10.73 10.74
FBgn0000617	 13.99 14.10
FBgn0000618	 14.28 14.35
FBgn0000625	  4.11  4.13
FBgn0000629	  2.11  2.11
FBgn0000633	  6.53  6.54
FBgn0000635	  4.11  4.13
FBgn0000636	  -0.00  -0.00
FBgn0000639	  5.17  5.22
FBgn0000640	  4.11  4.17
FBgn0000644	  8.74  8.79
FBgn0000658	  5.64  5.65
FBgn0000659	  3.06  3.07
FBgn0000662	 14.28 14.31
FBgn0000709	  5.23  5.23
FBgn0000711	 13.83 13.94
FBgn0000715	  2.07  2.07
FBgn0000721	 10.36 10.36
FBgn0000723	  3.09  3.10
FBgn0000808	  5.64  5.75
FBgn0000810	 14.39 14.40
FBgn0000928	 10.36 10.37
FBgn0000964	  3.13  3.13
FBgn0000996	 13.34 13.48
FBgn0001075	  9.59  9.60
FBgn0001077	  1.01  1.01
FBgn0001079	  7.35  7.35
FBgn0001083	 11.09 11.32
FBgn0001085	  4.11  4.11
FBgn0001086	 13.22 13.23
FBgn0001087	  8.46  8.51
FBgn0001089	  2.42  2.42
FBgn0001090	  -0.00  -0.00
FBgn0001091	 28.80 28.85
FBgn0001092	  5.23  5.23
FBgn0001104	  7.51  7.53
FBgn0001105	  4.11  4.11
FBgn0001108	  4.11  4.11
FBgn0001112	  6.32  6.32
FBgn0001114	  3.09  3.10
FBgn0001120	  8.46  8.46
FBgn0001122	  -0.00  -0.00
FBgn0001123	  6.46  6.49
FBgn0001124	 15.11 15.14
FBgn0001125	  1.01  1.01
FBgn0001128	  7.15  7.16
FBgn0001133	  6.39  6.47
FBgn0001134	  2.03  2.03
FBgn0001137	  4.11  4.13
FBgn0001138	  1.04  1.04
FBgn0001139	  6.36  6.38
FBgn0001145	  3.37  3.38
FBgn0001147	  2.03  2.03
FBgn0001148	  -0.00  -0.00
FBgn0001149	  4.15  4.18
FBgn0001150	  -0.00  -0.00
FBgn0001168	  1.01  1.01
FBgn0001169	  3.09  3.13
FBgn0001174	  6.32  6.33
FBgn0001180	  2.16  2.17
FBgn0001185	  4.63  4.64
FBgn0001186	  7.35  7.35
FBgn0001187	  5.40  5.45
FBgn0001189	 12.03 12.04
FBgn0001206	 16.28 16.30
FBgn0001208	  4.11  4.11
FBgn0001216	  2.07  2.07
FBgn0001222	  4.20  4.22
FBgn0001224	  6.39  6.39
FBgn0001225	  3.26  3.26
FBgn0001226	  2.05  2.06
FBgn0001227	  3.06  3.06
FBgn0001228	 13.52 13.56
FBgn0001229	  8.46  8.51
FBgn0001230	  5.28  5.28
FBgn0001233	-nan	-nan
FBgn0001235	  -0.00  -0.00
FBgn0001247	  6.98  7.03
FBgn0001248	  3.09  3.10
FBgn0001250	  5.24  5.28
FBgn0001253	  4.11  4.11
FBgn0001254	  5.17  5.22
FBgn0001256	  1.01  1.01
FBgn0001257	  1.01  1.01
FBgn0001259	  5.17  5.18
FBgn0001269	  1.01  1.01
FBgn0001276	 12.03 12.06
FBgn0001280	 23.54 23.54
FBgn0001291	 10.13 10.13
FBgn0001296	  1.01  1.01
FBgn0001297	  3.62  3.62
FBgn0001301	 12.87 12.89
FBgn0001308	 14.28 14.31
FBgn0001311	  4.11  4.11
FBgn0001316	  8.46  8.63
FBgn0001319	  4.20  4.22
FBgn0001320	  2.03  2.03
FBgn0001321	  4.20  4.20
FBgn0001323	  -0.00  -0.00
FBgn0001324	  1.01  1.01
FBgn0001325	  3.06  3.07
FBgn0001330	 12.96 12.96
FBgn0001341	 17.52 17.64
FBgn0001404	 10.73 10.74
FBgn0001491	  3.13  3.13
FBgn0001612	  8.64  8.66
FBgn0001624	 11.09 11.12
FBgn0001941	 14.16 14.46
FBgn0001942	  3.41  3.41
FBgn0001961	 17.52 17.72
FBgn0001967	  4.15  4.15
FBgn0001970	 26.71 27.06
FBgn0001977	  4.53  4.53
FBgn0001978	  8.02  8.02
FBgn0001983	  -0.00  -0.00
FBgn0001987	 49.75 55.08
FBgn0001989	  9.18  9.37
FBgn0001990	 11.34 11.34
FBgn0001991	  1.06  1.06
FBgn0001992	  7.35  7.35
FBgn0001994	 12.17 12.21
FBgn0002022	 19.31 19.34
FBgn0002023	  -0.00  -0.00
FBgn0002036	  9.80  9.81
FBgn0002044	 10.73 10.74
FBgn0002121	  6.25  6.25
FBgn0002174	 23.96 24.27
FBgn0002183	  5.77  5.79
FBgn0002283	 15.50 15.62
FBgn0002306	  6.53  6.54
FBgn0002354	 26.19 26.26
FBgn0002413	 14.44 14.58
FBgn0002431	  5.17  5.18
FBgn0002440	  2.03  2.03
FBgn0002441	 16.74 16.74
FBgn0002522	  6.25  6.29
FBgn0002524	 10.73 10.74
FBgn0002525	 10.36 10.37
FBgn0002526	  2.09  2.09
FBgn0002531	  2.03  2.03
FBgn0002533	 13.08 13.08
