peak_0	peak_5	FBgn0051973	2858	FBgn0051973	-13850	FBgn0051973	3760	FBgn0051973	-9545	True
peak_3	peak_7	FBgn0067779	0	FBgn0067779	0	FBgn0067779	0	FBgn0067779	0	True
peak_4	peak_9	FBgn0031213	0	FBgn0031213	0	FBgn0031213	0	FBgn0031213	0	True
peak_5	peak_11	FBgn0002931	0	FBgn0002931	0	FBgn0002931	0	FBgn0002931	0	True
peak_8	peak_14	FBgn0026787	0	FBgn0026787	0	FBgn0031217	0	FBgn0031217	0	True
peak_8	peak_14	FBgn0026787	0	FBgn0026787	0	FBgn0031217	0	FBgn0026787	0	True
peak_8	peak_14	FBgn0026787	0	FBgn0026787	0	FBgn0026787	0	FBgn0031217	0	True
peak_8	peak_14	FBgn0026787	0	FBgn0026787	0	FBgn0026787	0	FBgn0026787	0	True
peak_9	peak_16	FBgn0026787	0	FBgn0026787	0	FBgn0026787	0	FBgn0026787	0	True
peak_10	peak_17	FBgn0005278	517	FBgn0005278	-76	FBgn0005278	376	FBgn0026787	-326	True
peak_11	peak_18	FBgn0005278	0	FBgn0005278	0	FBgn0005278	0	FBgn0005278	0	True
peak_13	peak_19	FBgn0031219	645	FBgn0005278	-98	FBgn0031219	0	FBgn0031219	0	True
peak_15	peak_20	FBgn0001142	2310	FBgn0031220	-6444	FBgn0001142	2270	FBgn0031220	-6677	True
peak_16	peak_26	FBgn0031224	0	FBgn0031224	0	FBgn0031224	0	FBgn0031224	0	True
peak_17	peak_27	FBgn0053635	2088	FBgn0031224	-11029	FBgn0053635	2060	FBgn0031224	-11115	True
peak_18	peak_28	FBgn0053635	1392	FBgn0031224	-11794	FBgn0053635	1164	FBgn0031224	-11880	True
peak_19	peak_29	FBgn0053635	0	FBgn0053635	0	FBgn0053635	0	FBgn0053635	0	True
peak_19	peak_29	FBgn0053635	0	FBgn0016977	0	FBgn0053635	0	FBgn0053635	0	True
peak_19	peak_29	FBgn0016977	0	FBgn0053635	0	FBgn0053635	0	FBgn0053635	0	True
peak_19	peak_29	FBgn0016977	0	FBgn0016977	0	FBgn0053635	0	FBgn0053635	0	True
peak_20	peak_30	FBgn0016977	0	FBgn0016977	0	FBgn0016977	273	FBgn0053635	-1656	True
peak_21	peak_31	FBgn0016977	8170	FBgn0016977	-1927	FBgn0016977	8357	FBgn0016977	-3155	True
peak_23	peak_32	FBgn0016977	0	FBgn0016977	0	FBgn0016977	0	FBgn0016977	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031233	0	FBgn0031232	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031233	0	FBgn0031232	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031233	0	FBgn0031233	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031233	0	FBgn0031233	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031232	0	FBgn0031232	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031232	0	FBgn0031232	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031232	0	FBgn0031233	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031233	0	FBgn0031232	0	FBgn0031233	0	FBgn0031233	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031233	0	FBgn0031232	0	FBgn0031232	0	True
peak_25	peak_34	FBgn0031232	0	FBgn0031233	0	FBgn0031232	0	FBgn0031233	0	True
