chromosome	geneName	geneId	transId	transLength	Ps	Pn	Ds	Dn	DoS	alphaMK
2L	A16	FBgn0028965	FBtr0080427	1366	34	23	6	9	-1.11022302462516e-16	0.549019607843137
2L	a5	FBgn0011294	FBtr0077922	776	36	23	14	1	-5.55111512312578e-17	-7.94444444444444
2L	Aac11	FBgn0027885	FBtr0081001	2458	41	16	46	8	0	-1.24390243902439
2L	Aats-ala	FBgn0027094	FBtr0079721	3153	110	44	34	2	0	-5.8
2L	Aats-asn	FBgn0086443	FBtr0081162	1982	45	19	30	7	0	-0.80952380952381
2L	Aats-thr	FBgn0027081	FBtr0080332	2520	106	21	35	4	5.55111512312578e-17	-0.733490566037736
2L	ab	FBgn0264442	FBtr0332558	5164	89	22	54	4	-5.55111512312578e-17	-2.33707865168539
2L	abo	FBgn0000018	FBtr0080168	1794	64	12	30	30	0	0.8125
2L	Ac3	FBgn0023416	FBtr0085897	5055	20	10	94	33	0	-0.424242424242424
2L	Acer	FBgn0016122	FBtr0079685	2342	88	37	39	7	-1.11022302462516e-16	-1.34253246753247
2L	Acn	FBgn0263198	FBtr0081144	2513	23	37	39	33	0	-0.901185770750988
2L	Acon	FBgn0010100	FBtr0081473	2732	18	4	48	4	-5.55111512312578e-17	-1.66666666666667
2L	Acp1	FBgn0014454	FBtr0079500	858	18	7	4	2	5.55111512312578e-17	0.222222222222222
2L	Acp24A4	FBgn0051779	FBtr0110767	342	13	6	6	16	-1.66533453693773e-16	0.826923076923077
2L	Acp26Aa	FBgn0002855	FBtr0079155	958	38	21	17	69	5.55111512312578e-17	0.863844393592677
2L	Acp26Ab	FBgn0002856	FBtr0079156	453	10	14	6	7	0	-0.2
2L	Acp29AB	FBgn0015583	FBtr0079716	767	27	15	22	35	0	0.650793650793651
2L	Acp32CD	FBgn0023415	FBtr0080158	886	26	12	8	12	-1.11022302462516e-16	0.692307692307692
2L	Acp36DE	FBgn0011559	FBtr0081054	2843	75	58	65	89	-5.55111512312578e-17	0.435205992509363
2L	ACXA	FBgn0040510	FBtr0080415	3554	126	21	84	58	0	0.758620689655172
2L	ACXB	FBgn0040509	FBtr0080414	3557	100	31	86	42	1.11022302462516e-16	0.365238095238095
2L	ACXC	FBgn0040508	FBtr0080413	3505	117	6	68	35	0	0.9003663003663
2L	ACXE	FBgn0040506	FBtr0310556	3448	159	37	69	53	0	0.697045211819153
2L	Acyp	FBgn0025115	FBtr0080555	514	18	6	8	8	0	0.666666666666667
2L	adat	FBgn0028658	FBtr0080573	3003	57	47	30	24	0	-0.0307017543859649
2L	ade2	FBgn0000052	FBtr0079219	4281	199	151	87	18	0	-2.66750418760469
2L	ade3	FBgn0000053	FBtr0079431	4480	230	134	94	23	0	-1.38109640831758
2L	Adh	FBgn0000055	FBtr0100589	1057	40	3	7	2	1.11022302462516e-16	0.7375
2L	Adhr	FBgn0000056	FBtr0006151	2080	36	11	17	2	0	-1.59722222222222
2L	AIF	FBgn0031392	FBtr0077831	2709	73	27	33	7	5.55111512312578e-17	-0.743639921722113
2L	Akap200	FBgn0027932	FBtr0079667	3358	79	111	23	26	0	-0.242940603700097
2L	al	FBgn0000061	FBtr0078053	1806	19	15	20	1	-1.11022302462516e-16	-14.7894736842105
2L	Aldh	FBgn0012036	FBtr0079806	2070	86	11	14	1	0	-0.790697674418605
2L	alpha-Adaptin	FBgn0263350	FBtr0089489	3432	41	6	57	4	-1.11022302462516e-16	-1.08536585365854
2L	alpha4GT1	FBgn0031491	FBtr0077670	1714	26	20	29	16	1.11022302462516e-16	-0.394230769230769
2L	amd	FBgn0000075	FBtr0081154	1792	9	5	8	1	0	-3.44444444444444
2L	amos	FBgn0003270	FBtr0081081	786	19	14	10	1	0	-6.36842105263158
2L	Ance	FBgn0012037	FBtr0080552	2004	114	22	25	4	-1.11022302462516e-16	-0.206140350877193
2L	Ance-2	FBgn0032535	FBtr0080554	2222	99	90	41	4	-1.11022302462516e-16	-8.31818181818182
2L	Ance-3	FBgn0032536	FBtr0100327	2981	138	60	54	3	0	-6.82608695652174
