gene	N	S	dN	dS	w
FBgn0000008	3002.2	969.8	0.0108	0.0912	0.1189
FBgn0000014	1389.6	374.4	0.0001	0.1182	0.001
FBgn0000015	1001.6	477.4	0.0001	0.0592	0.001
FBgn0000018	1230.6	386.4	0.027	0.122	0.221
FBgn0000022	451.5	151.5	0.0139	0.1158	0.1197
FBgn0000024	1518.6	428.4	0.0013	0.0921	0.0146
FBgn0000028	809.2	345.8	0.0	0.0272	0.001
FBgn0000032	1034.6	330.4	0.0109	0.1247	0.0872
FBgn0000036	1426.6	361.4	0.0014	0.0676	0.021
FBgn0000037	1941.1	422.9	0.0058	0.1217	0.0478
FBgn0000038	1220.0	343.0	0.0008	0.0503	0.0167
FBgn0000039	1368.7	359.3	0.0001	0.0965	0.001
FBgn0000052	3029.6	1029.4	0.0115	0.1468	0.078
FBgn0000053	2936.4	1122.6	0.0116	0.1465	0.0789
FBgn0000055	635.6	132.4	0.0048	0.092	0.0527
FBgn0000056	613.0	203.0	0.0049	0.1365	0.0361
FBgn0000057	1453.4	430.6	0.0154	0.1062	0.145
FBgn0000061	841.4	382.6	0.0036	0.0591	0.0608
FBgn0000063	1418.8	471.2	0.0571	0.1581	0.361
FBgn0000064	887.7	201.3	0.0106	0.0736	0.1444
FBgn0000071	814.5	208.5	0.0141	0.1481	0.095
FBgn0000075	1149.7	380.3	0.0018	0.1193	0.0148
FBgn0000077	680.6	168.4	0.0045	0.1664	0.0271
FBgn0000083	838.2	133.8	0.0202	0.2282	0.0885
FBgn0000084	824.9	138.1	0.0049	0.2098	0.0234
FBgn0000092	654.2	125.8	0.0263	0.1907	0.1379
FBgn0000094	120.0	51.0	0.1083	0.0635	1.7048
FBgn0000097	1538.3	657.7	0.006	0.0603	0.0998
FBgn0000100	768.9	164.1	0.0187	0.1678	0.1117
FBgn0000108	2067.0	603.0	0.0025	0.0885	0.0277
FBgn0000109	400.6	145.4	0.0102	0.1549	0.0661
FBgn0000115	445.5	94.5	0.0	0.0443	0.001
FBgn0000116	1305.1	365.9	0.0054	0.0739	0.0734
FBgn0000117	1827.1	701.9	0.0006	0.0784	0.0071
FBgn0000119	3777.1	1256.9	0.0016	0.1357	0.0118
FBgn0000120	849.3	242.7	0.0012	0.1236	0.0097
FBgn0000121	976.6	226.4	0.001	0.1231	0.0084
FBgn0000137	1030.9	427.1	0.013	0.0542	0.2394
FBgn0000140	4337.3	1524.7	0.0172	0.133	0.1296
FBgn0000146	1974.2	602.8	0.058	0.1401	0.4141
FBgn0000147	944.1	288.9	0.0151	0.1456	0.1036
FBgn0000150	428.9	75.1	0.0024	0.1001	0.0239
FBgn0000152	1479.2	458.8	0.0001	0.106	0.001
FBgn0000153	1405.1	319.9	0.0058	0.1581	0.0364
FBgn0000157	810.9	230.1	0.0025	0.0646	0.0387
FBgn0000158	1005.8	308.2	0.0777	0.1223	0.6352
FBgn0000163	3405.7	1079.3	0.032	0.1497	0.2135
FBgn0000166	1096.4	385.6	0.0074	0.0973	0.0761
FBgn0000173	348.4	104.6	0.0001	0.1036	0.001
FBgn0000179	2154.2	659.8	0.031	0.1281	0.2424
FBgn0000180	1642.7	562.3	0.0031	0.1203	0.0257
FBgn0000181	423.1	83.9	0.0024	0.0786	0.0304
FBgn0000182	2103.8	608.2	0.0034	0.08	0.0423
FBgn0000183	1874.6	528.4	0.0032	0.1114	0.0291
FBgn0000206	2008.3	679.7	0.005	0.1189	0.0424
FBgn0000212	3768.2	1145.8	0.0005	0.0921	0.0058
FBgn0000216	200.3	39.7	0.0263	0.1023	0.2576
FBgn0000221	774.8	200.2	0.0158	0.1326	0.1188
FBgn0000227	826.3	259.7	0.016	0.1472	0.1086
FBgn0000228	2633.2	717.8	0.0082	0.1391	0.0589
FBgn0000229	782.4	333.6	0.0	0.0451	0.001
FBgn0000233	1381.5	547.5	0.0188	0.093	0.2025
FBgn0000239	1530.1	518.9	0.004	0.1125	0.0354
FBgn0000244	1626.6	509.4	0.0081	0.0782	0.104
FBgn0000246	1720.6	511.4	0.0531	0.1348	0.3939
FBgn0000247	4594.0	1286.0	0.0117	0.095	0.1228
FBgn0000250	1149.8	350.2	0.0018	0.0647	0.0271
FBgn0000251	1018.4	247.6	0.007	0.1057	0.0661
