# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "sim.saf" "-t" "gene" "-F" "SAF" "-o" "fc_sim-specific.txt" "nodup_sorted_w501_1.bam" "nodup_sorted_w501_2.bam" "nodup_sorted_w501_3.bam" 
Geneid	Chr	Start	End	Strand	Length	nodup_sorted_w501_1.bam	nodup_sorted_w501_2.bam	nodup_sorted_w501_3.bam
Scf_2L.457.891	Scf_2L	457	891	.	435	131	132	196
Scf_2L.1155.1348	Scf_2L	1155	1348	.	194	72	49	77
Scf_2L.11882.12787	Scf_2L	11882	12787	.	906	430	368	463
Scf_2L.12908.13082	Scf_2L	12908	13082	.	175	58	50	93
Scf_2L.40855.41066	Scf_2L	40855	41066	.	212	109	86	149
Scf_2L.50622.50837	Scf_2L	50622	50837	.	216	101	69	111
Scf_2L.52249.53507	Scf_2L	52249	53507	.	1259	714	505	702
Scf_2L.57405.57622	Scf_2L	57405	57622	.	218	89	118	112
Scf_2L.57884.60415	Scf_2L	57884	60415	.	2532	1263	1032	1253
Scf_2L.66637.67652	Scf_2L	66637	67652	.	1016	508	457	590
Scf_2L.73498.73972	Scf_2L	73498	73972	.	475	288	203	326
Scf_2L.80715.81097	Scf_2L	80715	81097	.	383	185	102	236
Scf_2L.88354.88566	Scf_2L	88354	88566	.	213	112	91	157
Scf_2L.90202.91049	Scf_2L	90202	91049	.	848	482	495	581
Scf_2L.91494.91882	Scf_2L	91494	91882	.	389	125	95	134
Scf_2L.92315.92942	Scf_2L	92315	92942	.	628	341	349	372
Scf_2L.93182.93475	Scf_2L	93182	93475	.	294	77	87	86
Scf_2L.93918.94824	Scf_2L	93918	94824	.	907	689	565	697
Scf_2L.100630.100794	Scf_2L	100630	100794	.	165	100	80	105
Scf_2L.113865.115535	Scf_2L	113865	115535	.	1671	1200	953	1229
Scf_2L.116877.117083	Scf_2L	116877	117083	.	207	87	62	92
Scf_2L.117184.117872	Scf_2L	117184	117872	.	689	237	197	236
Scf_2L.120157.120829	Scf_2L	120157	120829	.	673	312	244	340
Scf_2L.124100.124283	Scf_2L	124100	124283	.	184	105	81	138
Scf_2L.128152.128367	Scf_2L	128152	128367	.	216	54	54	62
Scf_2L.128469.129274	Scf_2L	128469	129274	.	806	285	227	325
Scf_2L.140927.141484	Scf_2L	140927	141484	.	558	179	127	205
Scf_2L.141692.142380	Scf_2L	141692	142380	.	689	303	230	364
Scf_2L.144318.145124	Scf_2L	144318	145124	.	807	618	477	729
Scf_2L.146212.148050	Scf_2L	146212	148050	.	1839	1755	1419	1792
Scf_2L.151883.152904	Scf_2L	151883	152904	.	1022	805	693	876
Scf_2L.168760.169246	Scf_2L	168760	169246	.	487	312	169	362
Scf_2L.189649.190249	Scf_2L	189649	190249	.	601	266	180	297
Scf_2L.192845.193778	Scf_2L	192845	193778	.	934	468	323	578
Scf_2L.206470.206748	Scf_2L	206470	206748	.	279	154	125	174
Scf_2L.207568.208556	Scf_2L	207568	208556	.	989	943	776	1125
Scf_2L.208785.209244	Scf_2L	208785	209244	.	460	135	132	166
Scf_2L.210133.210620	Scf_2L	210133	210620	.	488	248	177	268
Scf_2L.230387.230545	Scf_2L	230387	230545	.	159	65	58	84
Scf_2L.230715.231190	Scf_2L	230715	231190	.	476	163	125	210
Scf_2L.231899.232377	Scf_2L	231899	232377	.	479	99	127	138
Scf_2L.232587.233373	Scf_2L	232587	233373	.	787	368	276	422
Scf_2L.233736.234104	Scf_2L	233736	234104	.	369	92	74	126
Scf_2L.234224.234687	Scf_2L	234224	234687	.	464	125	85	121
Scf_2L.234976.235821	Scf_2L	234976	235821	.	846	601	524	609
Scf_2L.235984.236183	Scf_2L	235984	236183	.	200	38	34	34
Scf_2L.236395.237378	Scf_2L	236395	237378	.	984	425	264	456
Scf_2L.238262.238615	Scf_2L	238262	238615	.	354	195	122	240
Scf_2L.240414.240804	Scf_2L	240414	240804	.	391	182	70	186
Scf_2L.253595.254271	Scf_2L	253595	254271	.	677	261	187	348
Scf_2L.257945.258119	Scf_2L	257945	258119	.	175	93	58	121
Scf_2L.259711.260489	Scf_2L	259711	260489	.	779	328	222	357
Scf_2L.263279.264340	Scf_2L	263279	264340	.	1062	579	379	646
