gene	gapped_len	mel_len	sim_len	gap_num	indel_num	indel_mean_len	ungapped_len
FBgn0000008	1066	1000	1014	118	14	8.428571428571429	948
FBgn0000014	1008	1000	1002	14	6	2.3333333333333335	994
FBgn0000015	1037	1000	1032	42	8	5.25	995
FBgn0000022	1024	1000	1022	26	6	4.333333333333333	998
FBgn0000024	1025	1000	999	51	11	4.636363636363637	974
FBgn0000028	1011	1000	995	27	7	3.857142857142857	984
FBgn0000036	1030	1000	1004	56	8	7	974
FBgn0000037	1004	1000	994	14	5	2.8	990
FBgn0000038	1006	1000	994	18	8	2.25	988
FBgn0000039	1018	1000	1007	29	10	2.9	989
FBgn0000043	1017	1000	368	666	6	111	351
FBgn0000044	1025	1000	994	56	10	5.6	969
FBgn0000046	1010	1000	968	52	9	5.777777777777778	958
FBgn0000047	1082	1000	1070	94	10	9.4	988
FBgn0000052	1019	1000	1005	33	8	4.125	986
FBgn0000053	1029	1000	1014	44	9	4.888888888888889	985
FBgn0000057	1037	1000	1031	43	5	8.6	994
FBgn0000061	1002	1000	994	10	3	3.3333333333333335	992
FBgn0000063	1008	1000	993	23	7	3.2857142857142856	985
FBgn0000064	1009	1000	1005	13	5	2.6	996
FBgn0000071	1054	1000	1032	76	8	9.5	978
FBgn0000077	1002	1000	972	32	7	4.571428571428571	970
FBgn0000079	1020	1000	1015	25	6	4.166666666666667	995
FBgn0000083	1067	1000	1052	82	10	8.2	985
FBgn0000092	1020	1000	981	59	8	7.375	961
FBgn0000094	1064	1000	1054	74	12	6.166666666666667	990
FBgn0000097	1005	1000	995	15	8	1.875	990
FBgn0000100	1038	1000	1028	48	8	6	990
FBgn0000108	1023	1000	990	56	9	6.222222222222222	967
FBgn0000109	1009	1000	967	51	6	8.5	958
FBgn0000114	1015	1000	503	527	6	87.83333333333333	488
FBgn0000115	1002	1000	1002	2	2	1	1000
FBgn0000116	1016	1000	990	42	9	4.666666666666667	974
FBgn0000120	1058	1000	1021	95	10	9.5	963
FBgn0000121	1001	1000	997	5	3	1.6666666666666667	996
FBgn0000137	1001	1000	991	11	3	3.6666666666666665	990
FBgn0000139	1003	1000	1002	4	2	2	999
FBgn0000147	1004	1000	794	214	3	71.33333333333333	790
FBgn0000152	1047	1000	1044	50	7	7.142857142857143	997
FBgn0000153	1026	1000	961	91	8	11.375	935
FBgn0000157	1013	1000	1013	13	3	4.333333333333333	1000
FBgn0000158	1037	1000	962	112	18	6.222222222222222	925
FBgn0000166	1034	1000	950	118	17	6.9411764705882355	916
FBgn0000173	1020	1000	1016	24	6	4	996
FBgn0000179	1026	1000	1013	39	8	4.875	987
FBgn0000180	1028	1000	970	86	14	6.142857142857143	942
FBgn0000183	1004	1000	990	18	5	3.6	986
FBgn0000212	1031	1000	894	168	7	24	863
FBgn0000216	1004	1000	993	15	6	2.5	989
FBgn0000221	1004	1000	1002	6	2	3	998
FBgn0000227	1000	1000	982	18	2	9	982
FBgn0000228	1001	1000	709	293	5	58.6	708
FBgn0000229	1000	1000	1000	0	0	NA	1000
FBgn0000239	1036	1000	1031	41	8	5.125	995
FBgn0000244	1020	1000	980	60	8	7.5	960
FBgn0000246	1018	1000	1002	34	4	8.5	984
FBgn0000247	1023	1000	1022	24	4	6	999
FBgn0000250	1079	1000	1073	85	10	8.5	994
FBgn0000251	1019	1000	939	99	10	9.9	920
FBgn0000256	1009	1000	1000	18	5	3.6	991
FBgn0000257	1001	1000	833	169	8	21.125	832
FBgn0000273	1063	1000	1046	80	7	11.428571428571429	983
FBgn0000274	1018	1000	1017	19	4	4.75	999
FBgn0000278	1031	1000	982	80	14	5.714285714285714	951
FBgn0000279	1018	1000	957	79	8	9.875	939
FBgn0000286	1001	1000	999	3	3	1	998
FBgn0000287	1062	1000	1050	74	12	6.166666666666667	988
FBgn0000289	884	884	883	1	1	1	883
FBgn0000299	1027	1000	692	362	6	60.333333333333336	665
FBgn0000308	1031	1000	975	87	11	7.909090909090909	944
FBgn0000317	1053	1000	1032	74	8	9.25	979
FBgn0000318	1003	1000	927	79	5	15.8	924
FBgn0000320	1079	1000	1048	110	11	10	969
FBgn0000326	967	967	874	93	4	23.25	874
FBgn0000330	1057	1000	1041	73	5	14.6	984
FBgn0000337	1094	1000	1008	180	17	10.588235294117647	914
