gene	JC	K2P
FBgn0000008	  9.31  9.31
FBgn0000014	  4.67  4.69
FBgn0000015	  4.99  5.00
FBgn0000022	  6.48  6.49
FBgn0000024	  7.67  7.68
FBgn0000028	  3.43  3.44
FBgn0000036	  4.44  4.45
FBgn0000037	  4.26  4.26
FBgn0000038	  5.13  5.14
FBgn0000039	  4.80  4.81
FBgn0000043	 11.69 11.70
FBgn0000044	  3.59  3.60
FBgn0000046	  6.54  6.54
FBgn0000047	  6.33  6.34
FBgn0000052	  5.14  5.16
FBgn0000053	  5.37  5.38
FBgn0000057	  5.10  5.11
FBgn0000061	  5.00  5.00
FBgn0000063	  5.69  5.70
FBgn0000064	  7.82  7.83
FBgn0000071	  7.41  7.45
FBgn0000077	  5.45  5.46
FBgn0000079	  3.92  3.93
FBgn0000083	  8.37  8.39
FBgn0000092	  4.84  4.84
FBgn0000094	 13.46 13.46
FBgn0000097	  4.26  4.26
FBgn0000100	  8.10  8.11
FBgn0000108	  8.30  8.33
FBgn0000109	  6.09  6.10
FBgn0000114	 15.16 15.24
FBgn0000115	  3.58  3.59
FBgn0000116	  5.87  5.87
FBgn0000120	  5.05  5.05
FBgn0000121	  4.23  4.25
FBgn0000137	  5.88  5.89
FBgn0000139	  2.65  2.66
FBgn0000147	  9.43  9.45
FBgn0000152	  5.51  5.52
FBgn0000153	  3.17  3.17
FBgn0000157	  2.85  2.86
FBgn0000158	 10.92 10.92
FBgn0000166	 18.06 18.10
FBgn0000173	 11.24 11.25
FBgn0000179	  7.45  7.46
FBgn0000180	  9.01  9.02
FBgn0000183	  6.35  6.35
FBgn0000212	  5.03  5.04
FBgn0000216	  5.45  5.46
FBgn0000221	  4.23  4.24
FBgn0000227	  8.40  8.43
FBgn0000228	  6.80  6.80
FBgn0000229	  5.60  5.61
FBgn0000239	  8.28  8.30
FBgn0000244	  6.41  6.43
FBgn0000246	 13.07 13.10
FBgn0000247	  5.83  5.84
FBgn0000250	 15.11 15.13
FBgn0000251	  5.29  5.30
FBgn0000256	  5.66  5.66
FBgn0000257	 11.26 11.29
FBgn0000273	  7.82  7.84
FBgn0000274	  3.69  3.69
FBgn0000278	  9.88  9.88
FBgn0000279	  3.82  3.83
FBgn0000286	  6.27  6.27
FBgn0000287	  5.02  5.04
FBgn0000289	  5.52  5.53
