Dsim\Acp26Aa-PA	768	FBgn0012820	FBtr0222536
Dsim\Acp26Ab-PA	273	FBgn0012821	FBtr0222537
Dsim\Adh-PA	771	FBgn0012824	FBtr0223878
Dsim\Adhr-PB	819	FBgn0012825	FBtr0348491
Dsim\Gpdh-PA	1083	FBgn0012837	FBtr0223280
Dsim\GstD1-PA	1383	FBgn0012838	FBtr0220487
Dsim\Hsp83-PA	2154	FBgn0012840	FBtr0213649
Dsim\Mlc1-PA	468	FBgn0012844	FBtr0217976
Dsim\MtnA-PA	123	FBgn0012845	FBtr0220667
Dsim\N-PB	8088	FBgn0012846	FBtr0350598
Dsim\Pgd-PB	1446	FBgn0012849	FBtr0351416
Dsim\Rdl-PC	1827	FBgn0012851	FBtr0349322
Dsim\Sod-PA	462	FBgn0012854	FBtr0212732
Dsim\Yp2-PA	1329	FBgn0012859	FBtr0215953
Dsim\Zw-PC	1575	FBgn0012860	FBtr0362714
Dsim\bcd-PD	1485	FBgn0012864	FBtr0363728
Dsim\ci-PA	4209	FBgn0012866	FBtr0224738
Dsim\dec-1-PC	3477	FBgn0012868	FBtr0352649
Dsim\sala-PA	429	FBgn0012892	FBtr0223688
Dsim\sc-PA	1041	FBgn0012893	FBtr0216411
Dsim\tra-PA	555	FBgn0012901	FBtr0212368
Dsim\y-PB	1626	FBgn0012903	FBtr0358744
Dsim\z-PA	1812	FBgn0012904	FBtr0216518
Dsim\Gld-PB	1839	FBgn0013875	FBtr0364040
Dsim\ref(2)P-PA	1800	FBgn0013883	FBtr0224132
Dsim\v-PA	1140	FBgn0013884	FBtr0216903
Dsim\Dl-PB	2505	FBgn0014814	FBtr0361126
Dsim\r-PB	6675	FBgn0015169	FBtr0362999
Dsim\Top2-PB	4344	FBgn0015670	FBtr0360940
Dsim\dpp-PB	1914	FBgn0015673	FBtr0350595
Dsim\Ddc-PA	1533	FBgn0016334	FBtr0221688
Dsim\Lsp1gamma-PA	2319	FBgn0016340	FBtr0213454
Dsim\Sxl-PB	2166	FBgn0016343	FBtr0358316
Dsim\h-PA	1014	FBgn0016346	FBtr0214028
Dsim\janA-PA	408	FBgn0016348	FBtr0217309
Dsim\run-PA	1533	FBgn0016352	FBtr0217410
Dsim\ry-PB	4008	FBgn0016353	FBtr0354597
Dsim\twi-PB	1476	FBgn0016355	FBtr0353106
Dsim\up-PG	1194	FBgn0018225	FBtr0352760
Dsim\ey-PB	2700	FBgn0018281	FBtr0348445
Dsim\dy-PA	2100	FBgn0018282	FBtr0215881
Dsim\amd-PA	1533	FBgn0018304	FBtr0224094
Dsim\Acph-1-PB	1155	FBgn0018327	FBtr0361176
Dsim\tim-PD	4203	FBgn0020076	FBtr0358000
Dsim\boss-PA	2691	FBgn0020078	FBtr0221164
Dsim\Sry-alpha-PA	1593	FBgn0020081	FBtr0221406
Dsim\ftz-PA	1242	FBgn0020697	FBtr0219807
Dsim\Men-PA	2280	FBgn0020700	FBtr0220454
Dsim\Hex-C-PA	1806	FBgn0021123	FBtr0211014
Dsim\Amyrel-PA	1482	FBgn0021128	FBtr0225436
Dsim\Acp70A-PA	168	FBgn0021129	FBtr0214349
Dsim\Cat-PA	1521	FBgn0022505	FBtr0214680
Dsim\Ace-PB	1950	FBgn0022516	FBtr0350636
Dsim\Cyp4d2-PA	1506	FBgn0024395	FBtr0216502
Dsim\Cyp4d1-PD	1539	FBgn0024396	FBtr0363781
Dsim\prod-PA	1041	FBgn0024778	FBtr0225255
Dsim\Fbp2-PA	771	FBgn0024781	FBtr0223512
Dsim\tin-PA	1248	FBgn0025027	FBtr0219331
Dsim\sima-PC	4743	FBgn0025029	FBtr0363818
Dsim\pros-PB	5457	FBgn0025030	FBtr0356163
Dsim\pnt-PA	2157	FBgn0025031	FBtr0218299
Dsim\nos-PB	1215	FBgn0025032	FBtr0351812
Dsim\msi-PD	1905	FBgn0025033	FBtr0365411
Dsim\Tpi-PA	1047	FBgn0025034	FBtr0217232
Dsim\Src64B-PA	1659	FBgn0025035	FBtr0213155
Dsim\LanB2-PB	4920	FBgn0025036	FBtr0349189
Dsim\Eh-PD	384	FBgn0025037	FBtr0358132
Dsim\CecB-PA	192	FBgn0025038	FBtr0217100
Dsim\Cdc37-PA	1170	FBgn0025042	FBtr0213557
Dsim\Abd-B-PB	1662	FBgn0025043	FBtr0360356
Dsim\l(1)sc-PB	774	FBgn0025409	FBtr0363354
Dsim\Anp-PB	183	FBgn0025411	FBtr0357678
Dsim\GD24185-PB	1515	FBgn0025651	FBtr0348464
Dsim\Su(H)-PA	1785	FBgn0027417	FBtr0223900
Dsim\Acp29AB-PA	705	FBgn0027418	FBtr0222318
Dsim\anon-EST:fe1E9-PA	1755	FBgn0027801	FBtr0220741
Dsim\anon-EST:fe1A3-PA	1455	FBgn0027802	FBtr0221512
Dsim\Desat1-PA	1152	FBgn0027803	FBtr0218747
Dsim\alpha-Est6-PA	1707	FBgn0027804	FBtr0219384
Dsim\alpha-Est4-PA	1626	FBgn0027806	FBtr0219381
Dsim\GD14652-PA	264	FBgn0028445	FBtr0214562
Dsim\Su(P)-PA	1257	FBgn0028446	FBtr0212364
Dsim\Tl-PA	3351	FBgn0028769	FBtr0221217
Dsim\Tehao-PA	2388	FBgn0028770	FBtr0223810
Dsim\sta-PB	813	FBgn0029243	FBtr0355158
Dsim\Rel-PA	2919	FBgn0029245	FBtr0220732
Dsim\Ras85D-PA	570	FBgn0029246	FBtr0220701
Dsim\Ras64B-PB	579	FBgn0029247	FBtr0351242
Dsim\R-PB	555	FBgn0029248	FBtr0361862
Dsim\plu-PA	525	FBgn0040413	FBtr0225201
Dsim\RpL32-PA	405	FBgn0040418	FBtr0217298
Dsim\crm-PA	2928	FBgn0041270	FBtr0216265
Dsim\tld-PA	3204	FBgn0041655	FBtr0221035
Dsim\sqh-PA	525	FBgn0041656	FBtr0216114
Dsim\sog-PB	3117	FBgn0041657	FBtr0356152
Dsim\pit-PB	2043	FBgn0041658	FBtr0353109
Dsim\otu-PC	2574	FBgn0041659	FBtr0354440
Dsim\mira-PA	1389	FBgn0041661	FBtr0219998
Dsim\mei-218-PC	3852	FBgn0041663	FBtr0352925
Dsim\hyd-PB	8652	FBgn0041664	FBtr0352603
Dsim\fzo-PB	4281	FBgn0041665	FBtr0350430
Dsim\bnb-PB	1353	FBgn0041666	FBtr0356578
Dsim\T-cp1-PA	1674	FBgn0041667	FBtr0218363
Dsim\Osbp-PB	2355	FBgn0041668	FBtr0359847
Dsim\Cen190-PB	3291	FBgn0041670	FBtr0360617
Dsim\AP-50-PA	1314	FBgn0041673	FBtr0220862
Dsim\Pbprp3-PA	465	FBgn0041892	FBtr0219480
Dsim\Acp36DE-PB	2841	FBgn0041931	FBtr0351956
Dsim\Hex-t2-PA	1461	FBgn0042855	FBtr0221192
Dsim\Hex-t1-PB	1398	FBgn0042856	FBtr0364714
Dsim\EG:EG0007.9-PA	2244	FBgn0042857	FBtr0216222
Dsim\EG:EG0007.7-PA	1626	FBgn0042858	FBtr0216221
Dsim\EG:EG0007.10-PA	567	FBgn0042859	FBtr0216581
Dsim\BG:DS07721.6-PA	4839	FBgn0042860	FBtr0221904
Dsim\GD22005-PA	651	FBgn0042861	FBtr0221915
Dsim\BG:BACR44L22.4-PA	723	FBgn0042864	FBtr0223925
Dsim\fru-PD	2874	FBgn0043395	FBtr0354475
Dsim\Acp76A-PA	1167	FBgn0043398	FBtr0212218
Dsim\Acp63F-PA	246	FBgn0043399	FBtr0213225
Dsim\Acp62F-PA	354	FBgn0043400	FBtr0213615
Dsim\Acp53Ea-PA	363	FBgn0043401	FBtr0225428
Dsim\Acp32CD-PA	765	FBgn0043403	FBtr0223662
Dsim\kni-PB	1308	FBgn0044187	FBtr0364214
Dsim\en-PA	1668	FBgn0044189	FBtr0225808
Dsim\cid-PA	678	FBgn0044191	FBtr0210878
Dsim\Sr-CIII-PB	963	FBgn0044193	FBtr0365522
Dsim\Idgf3-PA	1326	FBgn0044199	FBtr0223968
Dsim\Idgf1-PA	1320	FBgn0044200	FBtr0223966
Dsim\lectin-46Ca-PA	990	FBgn0045530	FBtr0210595
Dsim\Vha68-1-PB	1845	FBgn0045541	FBtr0356751
Dsim\Sry-delta-PA	1308	FBgn0045545	FBtr0221408
Dsim\RNaseX25-PA	978	FBgn0045558	FBtr0213954
Dsim\Hem-PA	3381	FBgn0045567	FBtr0211981
Dsim\GD18020-PA	993	FBgn0045574	FBtr0217930
Dsim\GD23509-PA	1518	FBgn0045586	FBtr0223419
Dsim\GD25632-PA	1197	FBgn0045589	FBtr0225542
Dsim\GD12810-PA	1032	FBgn0045604	FBtr0212720
Dsim\BG642287-PB	933	FBgn0045605	FBtr0357540
Dsim\trus-PA	1458	FBgn0045611	FBtr0218750
Dsim\GD11280-PA	1149	FBgn0045613	FBtr0211190
Dsim\GD20911-PA	1659	FBgn0045627	FBtr0220821
Dsim\GD25810-PB	897	FBgn0045629	FBtr0349177
Dsim\GD22660-PA	1017	FBgn0045644	FBtr0222570
Dsim\GD25493-PB	1140	FBgn0045657	FBtr0355858
Dsim\GD19871-PB	1494	FBgn0045660	FBtr0361061
Dsim\rux-PA	1035	FBgn0046909	FBtr0216130
Dsim\Gel-PC	2397	FBgn0046913	FBtr0362024
Dsim\CkIIalpha-PB	1011	FBgn0046914	FBtr0352814
Dsim\AttC-PB	726	FBgn0046916	FBtr0356129
Dsim\Ama-PA	1059	FBgn0046919	FBtr0219804
Dsim\Sox102F-PB	1923	FBgn0061239	FBtr0347806
Dsim\GD24370-PC	1800	FBgn0061243	FBtr0364593
Dsim\Sry-beta-PA	1071	FBgn0062291	FBtr0221405
Dsim\phl-PA	2220	FBgn0063982	FBtr0216517
Dsim\ksr-PB	2925	FBgn0063983	FBtr0363973
Dsim\drk-PB	636	FBgn0063984	FBtr0358051
Dsim\GD13352-PA	792	FBgn0063988	FBtr0213262
Dsim\Syx4-PA	1002	FBgn0063990	FBtr0216264
Dsim\Sos-PA	4788	FBgn0063991	FBtr0223837
Dsim\EG:100G7.6-PB	2634	FBgn0063992	FBtr0356355
Dsim\EG:100G10.2-PA	1884	FBgn0063993	FBtr0216527
Dsim\Dsor1-PC	1191	FBgn0063994	FBtr0362540
Dsim\GD16624-PA	738	FBgn0063995	FBtr0216534
Dsim\GD24605-PA	783	FBgn0063996	FBtr0224515
Dsim\BcDNA:GH10711-PB	2043	FBgn0063997	FBtr0363370
Dsim\rhi-PB	4434	FBgn0064354	FBtr0353246
Dsim\mus209-PA	783	FBgn0064355	FBtr0225202
Dsim\crq-PA	1476	FBgn0064356	FBtr0222867
Dsim\RpS18-PA	459	FBgn0064360	FBtr0211410
Dsim\Crz-PA	465	FBgn0064364	FBtr0218865
Dsim\GD10957-PA	672	FBgn0064367	FBtr0210867
Dsim\Nup98-PB	5886	FBgn0066160	FBtr0351154
Dsim\Mtk-PA	159	FBgn0066161	FBtr0211024
Dsim\Hsf-PE	2202	FBgn0066162	FBtr0357981
Dsim\Hop-PA	1473	FBgn0066163	FBtr0222925
Dsim\Hmr-PB	4218	FBgn0066164	FBtr0359599
Dsim\Dro-PA	195	FBgn0066165	FBtr0210981
Dsim\DnaJ-1-PA	1059	FBgn0066166	FBtr0213089
Dsim\Def-PA	279	FBgn0066167	FBtr0225920
Dsim\CHIP-PA	870	FBgn0066168	FBtr0223614
Dsim\GD22122-PA	261	FBgn0066169	FBtr0222032
Dsim\Trap100-PA	2982	FBgn0067157	FBtr0213970
Dsim\Os-E-PA	426	FBgn0067158	FBtr0219479
Dsim\CoVa-PA	450	FBgn0067172	FBtr0218695
Dsim\GD23418-PA	363	FBgn0067177	FBtr0223328
Dsim\tub-PB	1389	FBgn0067487	FBtr0360062
