Dsim\N-PB	8088	FBgn0012846	FBtr0350598
Dsim\ey-PB	2700	FBgn0018281	FBtr0348445
Dsim\ey-PC	2577	FBgn0018281	FBtr0349382
Dsim\ey-PD	2520	FBgn0018281	FBtr0362204
Dsim\ey-PE	2577	FBgn0018281	FBtr0362252
Dsim\GD25285-PA	648	FBgn0082746	FBtr0225195
Dsim\GD21428-PA	2625	FBgn0084053	FBtr0221338
Dsim\GD16657-PA	5151	FBgn0068632	FBtr0216567
Dsim\GD16657-PB	5226	FBgn0068632	FBtr0357144
Dsim\GD16657-PC	5295	FBgn0068632	FBtr0359797
Dsim\dl-PA	2040	FBgn0067500	FBtr0221780
Dsim\dl-PB	3021	FBgn0067500	FBtr0351002
Dsim\dl-PC	3021	FBgn0067500	FBtr0356656
Dsim\dl-PD	3021	FBgn0067500	FBtr0360532
Dsim\dl-PE	2040	FBgn0067500	FBtr0362869
Dsim\dl-PF	2040	FBgn0067500	FBtr0365351
Dsim\trus-PA	1458	FBgn0045611	FBtr0218750
Dsim\anon-EST:fe1E9-PA	1755	FBgn0027801	FBtr0220741
Dsim\Acp54A1-PA	579	FBgn0083473	FBtr0211162
Dsim\GD16908-PA	2064	FBgn0084063	FBtr0216818
Dsim\GD16908-PB	2064	FBgn0084063	FBtr0349232
Dsim\GD16908-PC	1926	FBgn0084063	FBtr0353505
Dsim\GD16908-PD	1983	FBgn0084063	FBtr0354703
Dsim\GD16908-PE	2007	FBgn0084063	FBtr0356517
Dsim\GD16908-PF	2064	FBgn0084063	FBtr0362010
Dsim\GD16908-PG	2064	FBgn0084063	FBtr0362842
Dsim\GD11609-PB	2565	FBgn0084073	FBtr0350195
Dsim\GD19598-PA	552	FBgn0084076	FBtr0219508
Dsim\GD19598-PB	552	FBgn0084076	FBtr0350848
Dsim\GD22095-PB	2643	FBgn0084078	FBtr0357232
Dsim\GD18001-PA	1245	FBgn0067531	FBtr0217911
Dsim\Axn-PB	2196	FBgn0068704	FBtr0350157
Dsim\Zw-PB	1509	FBgn0012860	FBtr0351279
Dsim\Zw-PC	1575	FBgn0012860	FBtr0362714
Dsim\Zw-PD	1509	FBgn0012860	FBtr0365164
Dsim\Sry-delta-PA	1308	FBgn0045545	FBtr0221408
Dsim\dec-1-PB	3399	FBgn0012868	FBtr0350538
Dsim\dec-1-PC	3477	FBgn0012868	FBtr0352649
Dsim\Acp70A-PA	168	FBgn0021129	FBtr0214349
Dsim\Ptp10D-PB	5970	FBgn0068643	FBtr0351422
Dsim\Acp32CD-PA	765	FBgn0043403	FBtr0223662
Dsim\Acp32CD-PB	765	FBgn0043403	FBtr0358102
Dsim\Eh-PA	294	FBgn0025037	FBtr0220141
Dsim\Eh-PB	294	FBgn0025037	FBtr0349164
Dsim\Eh-PC	294	FBgn0025037	FBtr0357201
Dsim\Eh-PD	384	FBgn0025037	FBtr0358132
Dsim\Eh-PE	294	FBgn0025037	FBtr0362855
Dsim\Eh-PF	294	FBgn0025037	FBtr0364034
Dsim\Sap-r-PA	2856	FBgn0083425	FBtr0216684
Dsim\Mcm3-PA	2469	FBgn0084108	FBtr0216632
Dsim\GD25724-PA	2682	FBgn0084111	FBtr0225634
Dsim\Atg9-PA	2538	FBgn0083470	FBtr0211093
Dsim\GD13352-PA	792	FBgn0063988	FBtr0213262
Dsim\EG:30B8.6-PA	2220	FBgn0068662	FBtr0216288
Dsim\EG:30B8.6-PB	2223	FBgn0068662	FBtr0359314
Dsim\Ddc-PA	1533	FBgn0016334	FBtr0221688
Dsim\Ddc-PB	1533	FBgn0016334	FBtr0351965
Dsim\Ddc-PC	1428	FBgn0016334	FBtr0355659
Dsim\Cat-PA	1521	FBgn0022505	FBtr0214680
Dsim\GD24583-PA	912	FBgn0068696	FBtr0224493
Dsim\GD25296-PB	1707	FBgn0082754	FBtr0362937
Dsim\Atg5-PA	810	FBgn0083471	FBtr0216067
Dsim\GD25276-PB	375	FBgn0264784	FBtr0360275
Dsim\GD14532-PB	4041	FBgn0084138	FBtr0357724
Dsim\Acp29AB-PA	705	FBgn0027418	FBtr0222318
Dsim\GD25286-PB	4347	FBgn0082750	FBtr0359880
Dsim\GD13807-PA	1752	FBgn0083458	FBtr0213717
Dsim\GD15892-PB	3642	FBgn0068611	FBtr0363098
Dsim\Ace-PB	1950	FBgn0022516	FBtr0350636
Dsim\Ace-PC	1911	FBgn0022516	FBtr0352207
Dsim\Ace-PD	1950	FBgn0022516	FBtr0352990
Dsim\m6-PB	213	FBgn0082719	FBtr0356419
Dsim\GD22122-PA	261	FBgn0066169	FBtr0222032
Dsim\CecB-PA	192	FBgn0025038	FBtr0217100
Dsim\GD23074-PA	549	FBgn0084168	FBtr0222984
Dsim\GD11498-PA	2298	FBgn0082757	FBtr0211408
Dsim\EG:EG0007.9-PA	2244	FBgn0042857	FBtr0216222
Dsim\tub-PB	1389	FBgn0067487	FBtr0360062
Dsim\PGRP-SD-PA	561	FBgn0067514	FBtr0213939
Dsim\AlstR-PA	1578	FBgn0083472	FBtr0216742
Dsim\Rad23-PA	1245	FBgn0069498	FBtr0224312
Dsim\GD11280-PA	1149	FBgn0045613	FBtr0211190
Dsim\GD11280-PB	1149	FBgn0045613	FBtr0359748
Dsim\GD11280-PC	1149	FBgn0045613	FBtr0362236
Dsim\Ama-PA	1059	FBgn0046919	FBtr0219804
Dsim\Ama-PB	1002	FBgn0046919	FBtr0351482
Dsim\Ama-PC	1002	FBgn0046919	FBtr0362774
Dsim\Ama-PD	1002	FBgn0046919	FBtr0364098
Dsim\cid-PA	678	FBgn0044191	FBtr0210878
Dsim\tok-PA	4395	FBgn0083414	FBtr0221034
Dsim\tok-PB	4392	FBgn0083414	FBtr0349259
Dsim\tok-PC	4395	FBgn0083414	FBtr0354209
