mel_peak_name	sim_peak_name	mel_chr	mel_TSS_start	mel_TSS_end	mel_gene	mel_strand	mel_peak_start	mel_peak_end	mel_dist	sim_chr	sim_TSS_start	sim_TSS_end	sim_gene	sim_strand	sim_peak_start	sim_peak_end	sim_dist	mel_width	sim_width	per_diff
peak_0	peak_5	2L	18260	18570	FBgn0002121	-	53706	55223	-35137	Scf_2L	12402	12624	FBgn0194388	-	40384	41838	-27761	1517	1454	0.04240996297542915
peak_3	peak_7	2L	67042	67507	FBgn0067779	+	66448	67674	0	Scf_2L	52875	53457	FBgn0194389	+	52249	53507	0	1226	1258	0.02576489533011272
peak_5	peak_11	2L	87092	87387	FBgn0002931	-	87337	87854	0	Scf_2L	73270	73550	FBgn0194385	-	73498	74019	0	517	521	0.007707129094412331
peak_9	peak_16	2L	106642	106732	FBgn0026787	-	106226	106865	0	Scf_2L	92731	92857	FBgn0194383	-	92315	92952	0	639	637	0.003134796238244514
peak_11	peak_18	2L	107760	107838	FBgn0005278	+	107809	108852	0	Scf_2L	93850	93947	FBgn0194393	+	93918	94962	0	1043	1044	0.0009583133684714902
peak_26	peak_36	2L	221643	221962	FBgn0266557	-	221638	222606	0	Scf_2L	207573	207887	FBgn0194370	-	207568	208556	0	968	988	0.02044989775051125
peak_33	peak_48	2L	252317	252373	FBgn0283652	-	252105	252447	0	Scf_2L	238479	238539	FBgn0194368	-	238262	238615	0	342	353	0.031654676258992806
peak_37	peak_54	2L	283147	283195	FBgn0031244	-	282808	284077	0	Scf_2L	269347	269409	FBgn0194364	-	269008	270269	0	1269	1261	0.006324110671936759
peak_38	peak_55	2L	285633	285726	FBgn0031245	-	284190	285936	0	Scf_2L	271863	271999	FBgn0194363	-	270382	272165	0	1746	1783	0.020969113063190707
peak_40	peak_57	2L	292418	292568	FBgn0031247	+	292326	292917	0	Scf_2L	278661	278810	FBgn0194406	+	278568	279159	0	591	591	0.0
peak_41	peak_59	2L	295121	295271	FBgn0024352	+	294995	295548	0	Scf_2L	281402	281559	FBgn0066163	+	281283	281836	0	553	553	0.0
peak_43	peak_61	2L	297879	298403	FBgn0020622	+	297685	298863	0	Scf_2L	284123	284646	FBgn0194407	+	283974	285090	0	1178	1116	0.05405405405405406
peak_47	peak_64	2L	305934	306389	FBgn0004611	+	309721	310536	3333	Scf_2L	296379	296781	FBgn0194408	+	295913	296712	0	815	799	0.01982651796778191
peak_48	peak_67	2L	357686	357874	FBgn0031250	-	357250	358217	0	Scf_2L	336509	336712	FBgn0194355	-	336068	337037	0	967	969	0.002066115702479339
peak_49	peak_68	2L	404284	404383	FBgn0003278	+	403963	404577	0	Scf_2L	376937	377044	FBgn0194412	+	376622	377238	0	614	616	0.0032520325203252032
peak_50	peak_69	2L	414442	414777	FBgn0264855	-	412720	413291	1152	Scf_2L	387030	387359	FBgn0194353	-	385364	385881	1150	571	517	0.09926470588235294
peak_54	peak_73	2L	431226	432117	FBgn0004583	+	428047	429375	-1852	Scf_2L	404000	404893	FBgn0194417	+	400766	402113	-1888	1328	1347	0.014205607476635514
peak_60	peak_79	2L	471397	472200	FBgn0031258	-	471410	472723	0	Scf_2L	443139	444000	FBgn0194349	-	443152	444496	0	1313	1344	0.023334587881068874
peak_61	peak_80	2L	473012	473112	FBgn0027592	+	472896	473296	0	Scf_2L	444788	444889	FBgn0194420	+	444672	445069	0	400	397	0.0075282308657465494
peak_63	peak_82	2L	479475	479688	FBgn0043364	-	478460	482247	0	Scf_2L	451330	451537	FBgn0194348	-	450286	454067	0	3787	3781	0.0015856236786469344
peak_65	peak_84	2L	490834	491315	FBgn0003963	+	490535	491391	0	Scf_2L	462354	463228	FBgn0194421	+	462485	463304	0	856	819	0.04417910447761194
peak_71	peak_90	2L	542429	542580	FBgn0010602	-	539967	541830	600	Scf_2L	515725	515918	FBgn0194347	-	513257	515129	597	1863	1872	0.004819277108433735
peak_75	peak_96	2L	559611	559698	FBgn0031263	+	559103	560598	0	Scf_2L	533029	533111	FBgn0194423	+	532525	534007	0	1495	1482	0.008733624454148471
peak_76	peak_97	2L	564162	564226	FBgn0031265	+	564013	564426	0	Scf_2L	537629	537686	FBgn0194424	+	537473	537886	0	413	413	0.0
peak_80	peak_102	2L	602812	602870	FBgn0031270	+	602432	603065	0	Scf_2L	576335	576513	FBgn0194428	+	576044	576698	0	633	654	0.03263403263403263
