gene	YN00_dN	YN00_dS	YN00_w	NG86_dN	NG86_dS	NG86_w
FBgn0000008	0.0105	0.096	0.1099	0.011	0.0877	0.1256
FBgn0000014	-0.0	0.1124	0.0	0.0	0.0995	-1.0
FBgn0000015	-0.0	0.0694	0.0	0.0	0.0804	-1.0
FBgn0000018	0.0273	0.1147	0.2377	0.0275	0.1194	0.2302
FBgn0000022	0.0133	0.1301	0.1019	0.0139	0.1278	0.109
FBgn0000024	0.0013	0.0889	0.015	0.0014	0.0826	0.0164
FBgn0000028	-0.0	0.0269	0.0	0.0	0.0338	-1.0
FBgn0000032	0.0107	0.1253	0.0857	0.0106	0.1273	0.0836
FBgn0000036	0.0014	0.0608	0.0237	0.0015	0.0557	0.0264
FBgn0000037	0.0057	0.1241	0.0461	0.0074	0.0815	0.0907
FBgn0000038	0.0008	0.0463	0.0183	0.0008	0.0472	0.0178
FBgn0000039	-0.0	0.0921	0.0	0.0	0.0845	-1.0
FBgn0000052	0.0113	0.1477	0.0762	0.0114	0.147	0.0773
FBgn0000053	0.0112	0.1515	0.0741	0.0114	0.1553	0.0733
FBgn0000055	0.0049	0.0834	0.0588	0.0053	0.0636	0.0829
FBgn0000056	0.0049	0.1301	0.0378	0.0048	0.144	0.033
FBgn0000057	0.0157	0.0965	0.1628	0.0154	0.1009	0.1531
FBgn0000061	0.0035	0.0601	0.0584	0.0033	0.0678	0.0492
FBgn0000063	0.0563	0.1603	0.3515	0.057	0.1573	0.3624
FBgn0000064	0.0107	0.0676	0.1581	0.0121	0.0497	0.243
FBgn0000071	0.0138	0.152	0.0907	0.0158	0.1103	0.1428
FBgn0000075	0.0017	0.1183	0.0147	0.0017	0.1187	0.0146
FBgn0000077	0.0046	0.1529	0.0299	0.0046	0.1483	0.0309
FBgn0000083	0.0196	0.2668	0.0734	0.0226	0.1253	0.1801
FBgn0000084	0.0048	0.2172	0.0221	0.0055	0.1062	0.0518
FBgn0000092	0.0266	0.1667	0.1598	0.0283	0.1259	0.2246
FBgn0000094	0.1085	0.0572	1.8958	0.1024	0.0645	1.5874
FBgn0000097	0.0061	0.0551	0.111	0.0057	0.0725	0.0789
FBgn0000100	0.0181	0.1872	0.0969	0.0208	0.1114	0.187
FBgn0000108	0.0025	0.0806	0.0307	0.0025	0.0815	0.0302
FBgn0000109	0.0098	0.1669	0.0588	0.0099	0.1578	0.0629
FBgn0000115	-0.0	0.0444	0.0	0.0	0.031	-1.0
FBgn0000116	0.0054	0.071	0.076	0.0056	0.064	0.0869
FBgn0000117	0.0006	0.0764	0.0072	0.0005	0.0856	0.0062
FBgn0000119	0.0016	0.1297	0.0125	0.0016	0.1401	0.0112
FBgn0000120	0.0012	0.1173	0.0101	0.0012	0.1086	0.011
FBgn0000121	0.001	0.1177	0.0088	0.0011	0.0965	0.0112
FBgn0000137	0.0127	0.0537	0.2372	0.0117	0.0687	0.1698
FBgn0000140	0.0175	0.1222	0.1431	0.0173	0.1392	0.1243
FBgn0000146	0.0567	0.145	0.3909	0.0579	0.1345	0.431
FBgn0000147	0.015	0.1457	0.103	0.0151	0.1401	0.1078
FBgn0000150	0.0024	0.0974	0.0242	0.0026	0.0599	0.0437
FBgn0000152	-0.0	0.1029	0.0	0.0	0.1049	-1.0
FBgn0000153	0.0057	0.1611	0.0354	0.0061	0.1211	0.0502
FBgn0000157	0.0025	0.065	0.0379	0.0025	0.0571	0.0447
FBgn0000158	0.0768	0.1206	0.6373	0.0762	0.121	0.6302
FBgn0000163	0.0315	0.151	0.2084	0.0331	0.137	0.2418
FBgn0000166	0.0072	0.0999	0.0724	0.0071	0.1059	0.0667
FBgn0000173	-0.0	0.0947	0.0	0.0	0.0993	-1.0
FBgn0000179	0.0304	0.134	0.2269	0.0334	0.114	0.2927
FBgn0000180	0.0031	0.112	0.0275	0.003	0.1202	0.0249
FBgn0000181	0.0024	0.0754	0.0314	0.0026	0.0496	0.0529
FBgn0000182	0.0035	0.0705	0.0491	0.0034	0.0719	0.0478
FBgn0000183	0.0034	0.0914	0.0375	0.0033	0.1064	0.0306
